Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,pdp1,PDP1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
0,3,2,100,38,1,0,5,8,23,4,2,8,7,4,13,2,
11.1, , , , , , ,6, , , , , , , , , ,
12.96, , , , , , , , , , ,3, , , , , ,
16.92, , , , , , , , , , , , , , , ,3,
17.3, , , , , , , ,9, , , , , , , , ,
23.6, , , , ,2, ,7, , , , , , ,5, , ,
24.48, , , , , , , , , , ,4, , , , , ,
32.14, , , , , , , ,10, , , , , , , ,4,
36.64, , , , , , , , , , ,5, , , , , ,
37.92, , , , , , ,8, , , , , , , , , ,
42.68, , , , , , , , ,24, , , , , , , ,
43.6, , , , , , , , , , , , ,8,6, , ,
45, , , , , ,1, ,11, , , , , , , , ,
47.88, , , , , , , , , , , , , , , ,5,
50.5, , , , , , , , , , ,6, , , , , ,
52.6,4, , , , , , , , , , , , , , , ,
54, , , , ,3, , , , , , , , , , , ,
54.68, , , , , , ,9, , , , , , , , , ,
58.24, , , , , , , ,12, , , , , , , , ,
59.4, , , , , , , , , , , , , , ,14, ,
62.13, , , , , , , , , , , , , , , ,6,
62.78, , , , , , , , , , ,7, , , , , ,
64.2, , , , , , , , ,25, , , ,9,7, , ,
72.04, , , , , , , ,13, , , , , , , , ,
75.14, , , , , , ,10, , ,5,8, , , , ,7,
80, , , , ,4,2, , , , , , , , , , ,
82.08, , , , , , , , ,26, , , , , , , ,
85.8, , , , , , , , , , , , ,10,8, , ,
86.962, , , , , , , ,14, , , , , , , , ,
89.286, , , , , , , , , , , , , , ,15, ,
89.9, , , , , , , , , , ,9, , , , , ,
90.98, , , , , , , , , , , , , , , ,8,
97.52, , , , , , , , ,27, , , , , , , ,
100.28, , , , , , ,11,15, , , , , , , , ,
103.234, , , , , , , , , , ,10, , , , , ,
103.8, ,3, ,39, , , , , , , , , , , , ,
105.12,5, , , , , , , , , , , , , , , ,
105.3, , , , , , , , , , , , ,11,9, , ,
105.522, , , , , , , , , , , , , , , ,9,
109.052, , , , , , , , , , , , , , ,16, ,
110.32, , , , ,5,3,12, , , , , , , , , ,
111.12, , , , , , , , ,28, , , , , , , ,
113.76, , , , , , , ,16, , , , , , , , ,
118.152, , , , , , , , , , ,11, , , , , ,
120.1, , , , , , , , , , , , , , , ,10,
121.604, , , , , , ,13, , , , , , , , , ,
121.88, , , , , , , , , ,6, , , , , , ,
122.52, , , , , , , , , , , , ,12,10, , ,
123.28, , , , , , , , ,29, , , , , , , ,
125.774, , , , , , , ,17, , , , , , , , ,
126.14, , , , , , , , , , , , , , ,17, ,
131.638, , , , , , , , , , ,12, , , , , ,
133.92, , , , , , , , , , , , , , , ,11,
134.18, , , , , , ,14, , , , , , , , , ,
134.504, , , , , , , , ,30, , , , , , , ,
136.036, , , , , , , ,18, , , , , , , , ,
138.442, , , , , , , , , , , , ,13,11, , ,
139.784, , , , ,6,4, , , , , , , , , , ,
141.54, , , , , , , , , , , , , , ,18, ,
144.14, , , , , , , , ,31, , , , , , , ,
146.32, , , , , , , , , , ,13, , , , , ,
147.48, , , , , , , , , , , , , , , ,12,
148.73, , , , , , ,15,19, , , , , , , , ,
152.58, , , , , , , , , , , , ,14, , , ,
153.28,6, , , , , , , ,32, , , , , , , ,
154.78, , , , , , , , , , , , , ,12, , ,
155.482, , , , , , , , , , , , , , ,19, ,
159.84, , , , , , , ,20, ,7,14,9, , , , ,
160.546, , , , , , , , , , , , , , , ,13,
161.72, , , , , , , , ,33, , , , , , , ,
165.22, , , , , , , , , , , , ,15, , , ,
168.142, , , , , , , , , , , , , , ,20, ,
170.674, , , , , , , , ,34, , , , , , , ,
171.36, , , , , , , ,21, , , , , , , , ,
171.66, , , , , , , , , , , , , ,13, , ,
173, , , , ,7,5,16, , , ,15, , , , ,14,
173.206, ,4, , , , , , , , , , , , , , ,
176.62, , , , , , , , , , , , ,16, , , ,
178.7, , , , , , , , ,35, , , , , , , ,
179.56, , , , , , , , , , , , , , ,21, ,
182.88, , , , , , ,17,22, , , , , , , , ,
185.022, , , , , , , , , , , , , , , ,15,
186.32, , , , , , , , ,36, ,16, , , , , ,
187.1, , , , , , , , , , , , ,17,14, , ,
190.22, , ,99, , , , , , , , , , , ,22, ,
191.12, , , , , , , , , ,8, , , , , , ,
192.618, , , , , , , , , , , ,10, , , , ,
193.762, , ,98, , , , ,23,37, , , , , , , ,
197.362, , ,97, , , ,18, , , , , , , , ,16,
197.76, , , , , , , , , , ,17, , , , , ,
198.96, , , , , , , , , , , , ,18, , , ,
200.16, , , , , , , , , , , , , , ,23, ,
200.962, , , , , , , , ,38, , , , , , , ,
201.32, , ,96, , , , , , , , , , ,15, , ,
203.04, , , , , , , ,24, , , , , , , , ,
204.562, , ,95, , ,6, , , , , , , , , , ,
207.78,7, , , , , , , ,39, , , , , , , ,
208.162, , ,94, , , , , , , , , , , , , ,
209.72, , , , , , , , , , , , ,19, , , ,
210.48, , , , , , , , , , , , , , ,24,17,
211.762, , ,93, , , , , , , , , , , , , ,
214.36, , , , , , , , , , ,18, , , , , ,
214.56, , , , , , , ,25,40, , , , , , , ,
215.362, , ,92,38,8, ,19, , , , , , , , , ,
215.92, , , , , , , , , , , , , ,16, , ,
218.962, , ,91, , , , , , , , , , , , , ,
219.7, , , , , , , , , ,9, ,11,20, ,25, ,
221.1, , , , , , , , ,41, , , , , , , ,
222.58, , ,90, , , , , , , , , , , , ,18,
224.52, , , , , , , ,26, , , , , , , , ,
226.162, , ,89, , , , , , , , , , , , , ,
227.46, , , , , , , , ,42, , , , , , , ,
228.54, , , , , , , , , , ,19, , , ,26, ,
229.762, , ,88, , , , , , , , , , , , , ,
230.56, , , , , , , , , , , , ,21, , , ,
230.94, , , , , , , , , , , , , ,17, , ,
233.362, , ,87, , , , , , , , , , , , , ,
234.4, , , , , , , , ,43, , , , , , , ,
234.72, , , , , ,7, , , , , , , , , , ,
236.962, , , , , , , ,27, , , , , , , , ,
237.08, , ,86, , , , , , , , , , , ,27,19,
240.562, , , , , , , , ,44, , , , , , , ,
240.66, , ,85, , , , , , , , , ,22, , , ,
242.72, , , , , , , , , , , ,12, , , , ,
244.162, , ,84, , , , , , , , , , , , , ,
245.56, , , , , , , , , , , , , , ,28, ,
246.66, , , , , , , , ,45, , , , , , , ,
247.12, , , , , , , , , ,10, , , , , , ,
247.762, , ,83, , , , , , , , , , , , , ,
248.38, , , , , , , , , , , , , ,18, , ,
249.12, , , , , , , ,28, , , , , , , , ,
250, , , , , , , , , , ,20, ,23, , , ,
251.362, , ,82, , , , , , , , , , , , , ,
252.72, , , , , , , , ,46, , , , , , ,20,
253.56, , , , , , , , , , , , , , ,29, ,
254.962, , ,81, , , , , , , , , , , , , ,
258.562, , ,80, , , , , , , , , , , , , ,
258.98, , , , , , , , ,47, , , , , , , ,
260.4, , , , , , , , , , , , ,24, , , ,
261.28, , , , , , ,18, , , , ,13, , , , ,
261.7, , , , , , , , , , , , , , ,30, ,
262.162, , ,79, , , , , , , , , , , , , ,
263.96, , , , , , , ,29, , , , , , , , ,
264.9, , , , , , , , ,48, , , , , , , ,
265.762, , ,78,37, , , , , , , , , , , , ,
268.38,8,5, , , , , , , , , , , , , , ,
269.362, , ,77, , , , , , , , , , ,19, , ,
270.02, , , , , , , , , , , , ,25, ,31, ,
271, , , , , , , , ,49, , , , , , , ,
272.962, , ,76, , , , , , , , , , , , , ,
273.48, , , , , , , , , , , , , , , ,21,
274.12, , , , , , , , , ,11, , , , , , ,
275.8, , , , , ,8, , , , , , , , , , ,
276.562, , ,75, , , , , , , , , , , , , ,
277.44, , , , , , ,19, ,50, , ,14, , , , ,
277.86, , , , , , , , , , , , , , ,32, ,
280.162, , ,74, , , , ,30, , , , , , , , ,
280.62, , , , , , , , , , , , ,26, , , ,
283.26, , , , , , , , ,51, , , , , , , ,
283.762, , ,73, , , , , , , , , , , , , ,
285.86, , , , , , , , , , , , , , ,33, ,
287.362, , ,72, , , , , , , , , , , , , ,
289.42, , , , , , , , ,52, , , , , , , ,
290.962, , ,71, , , , , , , , , ,27,20, , ,
293.04, , , , , , , , , , , ,15, , , , ,
294, , , , , , , , , , , , , , ,34, ,
294.562, , ,70, , , , , , , , , , , , , ,
295.28, , , , , , , , , , ,21, , , , ,22,
295.78, , , , , , , , ,53, , , , , , , ,
296.18, , , , , , , ,31, , , , , , , , ,
298.162, , ,69, , , , , , , , , , , , , ,
300.32, , , , , , , , , ,12, , , , , , ,
301.9, , ,68, , , , , ,54, , , ,28, ,35, ,
303.762, , , ,36, , , , , , , , , , , , ,
305.362, , ,67, , , , , , , , , , , , , ,
306.58, , , , , , , , , , , ,16, , , , ,
308, , , , , , , , ,55, , , , , , , ,
308.962, , ,66, , , , , , , , , , , , , ,
309.54, , , , , , , , , , , , , , ,36, ,
312.562, , ,65, , , , , , , , , , , , , ,
313.18, , , , , , , ,32, , , , ,29,21, , ,
313.88, , , , , , , , ,56, , , , , , , ,
316.162, , ,64, , , , , , , , , , , , , ,
317.54, , , , , , , , , , , , , , ,37, ,
319.94, , ,63, , , , , ,57, , , , , , ,23,
320.5, , , , , , ,18, , , , ,17, , , , ,
323.362, , ,62, , , , , , , , , , , , , ,
324.56, , , , , , , , , , , , ,30, , , ,
325.1, , , , , , , , , , , , , , ,38, ,
326.2, , , , , , , , ,58, , , , , , , ,
326.962, , ,61, , , , , , , , , , , , , ,
327.92, , , , , , , , , ,13, , , , , , ,
330.562, , ,60, , , , , , , , , , , , , ,
332.8, , , , , , , , ,59, , ,18, , ,39, ,
334.162, , ,59, , , , , , , , , , , , , ,
334.8, , , , , , , ,33, , , , , , , , ,
335.962, , , ,35, , , , , , , , , , , , ,
337.762, , ,58, , , , , , , , , ,31, , , ,
338.76, , , , , , , , ,60, , , , , , , ,
340.64, , , , , , , , , , , , , , ,40, ,
341.58, , ,57, , , , , , , , , , ,22, , ,
343.3, , , , ,7,9,17, , , ,20, , , , , ,
345.06, , ,56, , , , , ,61, , ,19, , , , ,
348.64, , ,55, , , , , , , , , , , ,41, ,
349.12, , , , , , , , , , , , ,32, , , ,
351.56, , , , , , , , ,62, , , , , , , ,
352.162, , ,54, , , , , , , , , , , , , ,
355.762, , ,53, , , , , , , , , , , , , ,
356.78, , , , , , , , , , , , , , ,42, ,
357.42, , , , , , , , , , , ,20, , , , ,
358.3, , , , , , , , ,63, , , , , , , ,
359.52, , ,52, , , ,16, , ,14, , , , , , ,
362.6, , , , , , , , , , , , ,33, , , ,
362.962, , ,51, , , , , , , , , , , , , ,
364.362, , , ,34, , , , , , , , , , , , ,
365.28, , , , , , , , ,64, , , , , ,43, ,
366.562, , ,50, , , , , , , , , , , , , ,
367.7, , , , , , , , , , ,19, , , , , ,
368.24, , , , , , , , , , , ,21, , , , ,
370.162, , ,49, , , , , , , , , , , , , ,
372.52,9,6, , , , , , ,65, , , , , , , ,
373.762, , ,48, , , , , , , , , , , ,44, ,
377.362, , ,47, , , , , , , , , , , , , ,
378.28, , , , , , , , , , , , ,34, , , ,
379.2, , , , , , , , , , , ,22, , , , ,
380.04, , , , , , , , ,66, , , , , , , ,
380.962, , ,46, , , , , , , , , , , , , ,
382.24, , , , , , , , , , , , , , ,45, ,
384.562, , ,45, , , , , , , , , , , , , ,
388.162, , ,44, , , , , ,67, , , , , , , ,
390.562, , , ,33, , , , , , , , , , , , ,
391.14, , , , , , , , , , , ,23, , ,46, ,
391.762, , ,43, , , , , , , , , , , , , ,
395.362, , ,42, , , , , , , , , , , , , ,
396.1, , , , , , , , ,68, ,18, , , , , ,
397.02, , , , , , , , , , , , ,35, , , ,
398.962, , ,41, , , , , , , , , , , , , ,
400.12, , , , , , , , , , , , , , ,47, ,
400.92, , , , ,6, ,15, , ,15, , , , , ,22,
401.34, , , , , , , , , , , ,24, , , , ,
402.562, , ,40, , , , , , , , , , , , , ,
403.2, , , , , ,8, , , , , , , , , , ,
404.48, , , , , , , , ,69, , , , , , , ,
406.162, , ,39, , , , , , , , , , , , , ,
409.762, , ,38, , , , , , , , , , , , , ,
410.26, , , , , , , , , , , , , , ,48, ,
412.38, , , , , , , , , , , ,25, , , , ,
413.362, , ,37, , , , , ,70, , , , , , , ,
414.562, , , ,32, , , , , , , , , , , , ,
416.962, , ,36, , , , , , , , , , , , , ,
420.562, , , , , , , , , , , , ,36, , , ,
420.66, , ,35, , , , , , , , , , , ,49, ,
422.66, , , , , , , , ,71, , , , , , , ,
423.52, , , , , , ,14, , , ,17,26, , , , ,
424.162, , ,34, , , , , , , , , , , , , ,
427.762, , ,33, , , , , , , , , , , , , ,
431.362, , ,32, , , , , , , , , , , ,50, ,
432.42, , , , , , , , ,72, , , , , , , ,
434.962, , ,31, , , , , , , , , , , , , ,
435.66, , , , , , , , , , , ,27, , , , ,
437.162, , , ,31, , , , , , , , , , , , ,
438.562, , ,30, , , , , , , , , , , , , ,
442.26, , ,29, , , , , , , , , , , ,51, ,
442.7, , , , , , , , ,73, , , , , , , ,
445.762, , ,28, , , , , , , , , , , , , ,
449, , , , ,5, ,13,32, , ,16,28, , , ,21,
449.362, , ,27, , , , , , , , , , , , , ,
450.62, , , , , , , , , , , , ,37, , , ,
452.962, , ,26, , , , , , , , , , , , , ,
454.86, , , , , , , , , , , , , , ,52, ,
455.5, , , , , , , , ,74, , , , , , , ,
456.562, , ,25, , , , , , , , , , , , , ,
457.2, , , , , ,7, , , , , , , , , , ,
458.362, , , ,30, , , , , , , , , , , , ,
460.162, , ,24, , , , , , , , , , , , , ,
460.92, , , , , , , , , ,16, ,29, , , , ,
463.762, , ,23, , , , , , , , , , , , , ,
467.362, , ,22, , , , , , , , , , , , , ,
467.86, , , , , , , , , , , , , , ,53, ,
469.2, , , , , , , , ,75, , , , , , , ,
470.962, , ,21, , , , , , , , , , , , , ,
472.96, , , , , , ,12, , , , ,30, , , , ,
473.4, , , , , , , , , , ,15, , , , , ,
474.562, , ,20, , , , , , , , , , , , , ,
478.282, , ,19,29, , , , , , , , , , , , ,
481.28, , , , , , , , , , , , , , ,54, ,
481.762, , ,18, , , , , , , , , , , , , ,
483.94, , , , , , , , ,76, , , , , , , ,
485.362, , ,17, , , , , , , , , , , , , ,
486.18, , , , , , , , , , , ,31, , , , ,
487.8, , , , , , , , , , , , , , , ,20,
488.962, , ,16, , , , , , , , , , , , , ,
491.562, , , , , , , , , , , , ,38, , , ,
492.562, , ,15, , , , , , , , , , , , , ,
496.162, , ,14, , , , , , , , , , , , , ,
497.342,8, , ,28, , , , , , , , , , ,55, ,
499.762, , , , , , ,11, , , ,14,32, ,21, , ,
499.88, , ,13, ,4, , , ,77, , , , , , , ,
503.362, , ,12, , , , , , , , , , , , , ,
506.2, , , , , ,6, , , , , , , , , , ,
506.962, , ,11, , , , , , , , , , , , , ,
510.562, , ,10, , , , , , , , , , , , , ,
514.18, , ,9, , , , , , , , ,33, , ,56, ,
515.482, , , ,27, , , , , , , , , , , , ,
517.24, , , , , , , , ,78, , , , , , , ,
517.762, , ,8, , , , , , , , , , , , , ,
