Time (min),CRY_ANIMO,CRY_ODE,
884.9032, ,21.2288,
888.6696, ,21.7336,
891.871, ,22.243,
893.4403, ,22.7568,
896.0767, ,23.2751,
898.211, ,23.7943,
899.2781, ,24.3178,
903.0445, ,24.8455,
903.9233, ,25.3774,
911.0166, ,25.9104,
912.0837,98.9362, ,
912.1465,100, ,
914.218, ,26.4474,
916.7289, ,26.9884,
917.4194, ,27.5333,
918.4865, ,28.0795,
920.0558, ,28.6294,
920.6207, ,29.1831,
921.6879, ,29.7404,
923.8221, ,30.299,
927.5257, ,30.8611,
930.0366, ,31.4268,
932.3592, ,31.9958,
933.9285, ,32.5661,
937.6321, ,33.1396,
941.3984, ,33.7164,
943.3444, ,34.2964,
945.102, ,34.3309,
948.3034, ,34.3653,
952.0697, ,34.3998,
952.5719, ,34.4343,
953.6391, ,34.4399,
955.7733, ,34.4456,
956.6521, ,34.4512,
958.9747, ,34.4568,
962.1761, ,34.4606,
964.3104, ,34.4643,
966.9468, ,34.4681,
973.3496, ,34.4718,
976.551, ,34.4756,
977.0532, ,34.4793,
978.1203, ,34.483,
980.2546, ,34.4868,
987.7245, ,34.4905,
991.4908, ,34.4943,
996.2616, ,34.4981,
998.3958, ,34.5019,
1003.1665, ,34.5209,
1006.9329, ,34.5398,
1009.0671, ,34.5588,
1010.6364, ,34.5777,
1012.2685, ,34.6725,
1014.4028, ,34.7672,
1014.905, ,34.8619,
1016.8509, ,34.9567,
1018.1064, ,35.0467,
1018.6085, ,35.1367,
1019.6757, ,35.2267,
1020.7428, ,35.3167,
1022.8771, ,35.7665,
1031.4141, ,36.2162,
1033.5484, ,36.6657,
1038.884, ,37.115,
1041.5205, ,37.7918,
1044.2197, ,38.4681,
1050.0575, ,39.1439,
1051.6896, ,39.8191,
1054.891, ,40.4526,
1058.0924, ,41.0856,
1060.1639, ,41.7181,
1061.796, ,42.35,
1062.8631, ,42.9462,
1065.4996, ,43.542,
1070.333, ,44.1372,
1074.0366, ,44.7318,
1074.6016, ,45.2899,
1076.7358, ,45.8474,
1080.4394, ,46.4045,
1081.5065, ,46.961,
1083.6408, ,47.4851,
1085.2101, ,48.0088,
1086.8422, ,48.532,
1087.721,98.9362, ,
1087.7838,100, ,
1090.5458, ,49.0546,
1092.1779, ,49.5571,
1093.245, ,50.059,
1096.4464, ,50.5604,
1099.0828, ,51.0613,
1102.7864, ,51.5642,
1104.9207, ,52.0666,
1108.1221, ,52.5684,
1110.8213, ,53.0696,
1115.592, ,53.6099,
1118.7934, ,54.1495,
1120.9276, ,54.6885,
1121.9948, ,55.2267,
1124.129, ,55.7669,
1125.1962, ,56.3064,
1126.2633, ,56.8451,
1134.8003, ,57.3831,
1140.136, ,57.9315,
1142.7724, ,58.479,
1145.4089, ,59.0257,
1149.1752, ,59.5716,
1151.8117, ,60.1372,
1152.3766, ,60.7019,
1156.0802, ,61.2657,
1159.2816, ,61.8286,
1161.4159, ,62.4212,
1163.5501, ,63.0127,
1166.7515, ,63.6032,
1172.0872, ,64.1926,
1172.5894, ,64.8214,
1175.7908, ,65.4489,
1180.0593, ,66.0752,
1181.6914, ,66.7002,
1183.7629, ,67.372,
1184.83, ,68.0423,
1185.8971, ,68.7111,
1186.9643, ,69.3783,
1188.0314, ,70.0942,
1190.7306, ,70.8083,
1193.367, ,71.5205,
1193.932, ,72.2309,
1197.1334, ,72.9831,
1198.7027, ,73.7331,
1199.5815, ,74.4809,
1200.3348, ,75.2266,
1202.469, ,76.0005,
1205.6077, ,76.7719,
1208.3069, ,77.5409,
1210.4412, ,78.3075,
1212.0105, ,78.6343,
1215.2119, ,78.9598,
1216.279, ,79.2826,
1220.0453, ,79.6021,
1222.1796, ,79.9183,
1225.8832, ,80.231,
1228.5196, ,80.5404,
1232.286, ,80.8464,
1237.0567, ,81.4045,
1237.0567, ,81.9514,
1240.823, ,82.4873,
1242.3923, ,83.0122,
1246.0959, ,83.5445,
1251.9965, ,84.0655,
1253.0636, ,84.5752,
1254.1308, ,85.0739,
1256.265, ,85.5968,
1257.3322, ,86.1074,
1261.0357, ,86.6059,
1261.0985,100, ,
1262.2912,100, ,
1263.5466,100, ,
1264.7393,98.9362, ,
1264.8021, ,87.0924,
1265.116,100, ,
1265.5554,98.9362, ,
1265.8065, ,87.6009,
1265.9948,100, ,
1266.8108,98.9362, ,
1267.2502,100, ,
1267.9407, ,88.0962,
1268.1918,98.9362, ,
1268.5684,100, ,
1268.9451,98.9362, ,
1270.0122,100, ,
1270.4516,98.9362, ,
1270.8282,100, ,
1271.7071,98.9362,88.5784,
1272.1465,100, ,
1272.5231,98.9362, ,
1272.7742, ,89.0478,
1273.2764, ,89.536,
1273.653,98.9362, ,
1275.4106, ,90.01,
1277.5449, ,90.4701,
1278.612, ,90.9166,
1281.3112, ,91.3753,
1284.2616, ,91.8192,
1286.5841, ,92.2486,
1291.4176, ,92.6638,
1295.1212, ,93.0814,
1297.8204, ,93.4842,
1301.0218, ,93.8724,
1302.0889, ,94.2464,
1304.2232, ,94.6127,
1308.9939, ,94.9647,
1312.6975, ,95.3028,
1314.3296, ,95.6271,
1316.0872,98.9362, ,
1316.2755, ,95.9373,
1317.4054,98.9362, ,
1318.6609,98.9362, ,
1319.9163,98.9362, ,
1321.0462,97.8723, ,
1321.3601,98.9362, ,
1321.6739, ,96.2343,
1322.3644,97.8723, ,
1322.8038,98.9362, ,
1323.2432,97.8723, ,
1323.3688, ,96.5184,
1324.2476,98.9362, ,
1324.4359, ,96.7898,
1324.7498,97.8723, ,
1325.6286,97.8723, ,
1326.5702, ,97.0454,
1329.2066, ,97.2889,
1331.9058, ,97.5208,
1333.4752, ,97.741,
1337.2415, ,97.9465,
1339.3758, ,98.1411,
1340.4429, ,98.3252,
1342.7655,96.8085, ,
1343.0793, ,98.4987,
1343.2049,97.8723, ,
1343.8954,96.8085, ,
1344.3348,97.8723, ,
1345.2764,96.8085, ,
1345.7158,97.8723, ,
1346.2807, ,98.6594,
1346.6574,96.8085, ,
1346.9712,97.8723, ,
1347.4734,96.8085, ,
1347.9128, ,98.8103,
1348.6661,96.8085, ,
1349.4821, ,98.9515,
1352.1186, ,99.0832,
1353.1857, ,99.2039,
1353.7507, ,99.3156,
1354.5667,95.7447, ,
1354.6295,96.8085, ,
1355.32, ,99.4184,
1359.5885, ,99.5124,
1360.8439,96.8085, ,
1362.0994,96.8085, ,
1362.2877, ,99.5969,
1363.3548,96.8085,99.6731,
1364.3592,95.7447, ,
1364.7986,96.8085, ,
1364.9241, ,99.741,
1365.4891, ,99.8008,
1365.6774,95.7447, ,
1366.1796,96.8085, ,
1366.5562,95.7447, ,
1367.6861,96.8085, ,
1368,95.7447, ,
1368.1255, ,99.8522,
1375.0305, ,99.8958,
1376.0976, ,99.9317,
1378.7969, ,99.96,
1379.864, ,99.9807,
1380.9311, ,99.994,
1381.6216,95.7447, ,
1382.9398,95.7447, ,
1384.1325,94.6809,100,
1384.5719,95.7447, ,
1385.3252,94.6809, ,
1385.7646,95.7447, ,
1386.4551,94.6809, ,
1387.3339,95.7447,99.9988,
1387.7105,94.6809, ,
1388.6521,94.6809, ,
1391.0375, ,99.9905,
1394.7411, ,99.9752,
1395.8082, ,99.9529,
1396.8753, ,99.9237,
1398.5074, ,99.8876,
1401.7088, ,99.8448,
1403.1526,94.6809, ,
1404.4708,93.617, ,
1404.9102,94.6809,99.7952,
1405.3496,93.617, ,
1406.4167,94.6809, ,
1406.7934,93.617, ,
1407.5466, ,99.739,
1409.6809, ,99.6759,
1411.8152, ,99.6061,
1414.4516,93.617, ,
1415.7071,92.5532, ,
1416.1465,93.617, ,
1416.5859,92.5532, ,
1417.7786,93.617, ,
1418.1552,92.5532, ,
1422.4865, ,99.5969,
1424.558,91.4894, ,
1424.6207,92.5532, ,
1425.7507,91.4894, ,
1426.0645,92.5532, ,
1427.0061,91.4894, ,
1428.3243, ,99.5124,
1433.3461,90.4255, ,
1433.5344,91.4894, ,
1434.6016,90.4255, ,
1434.9154,91.4894, ,
1435.9198,90.4255, ,
1436.7358,91.4894, ,
1437.1752,90.4255, ,
1437.3636, ,99.4184,
1442.3226,89.3617, ,
1442.5737,90.4255, ,
1443.7036,89.3617, ,
1444.143,90.4255, ,
1444.5196,89.3617, ,
1445.3984, ,99.3156,
1450.2319,88.2979, ,
1450.5458,89.3617, ,
1451.3618,88.2979, ,
1452.3034,89.3617, ,
1452.6173,88.2979, ,
1454.9398, ,99.2039,
1456.5719,87.234, ,
1456.9486,88.2979, ,
1457.0741, ,99.1121,
1457.8901,87.234, ,
1458.769,88.2979, ,
1459.2711,87.234, ,
1460.8405, ,98.999,
1462.9747, ,98.8794,
1463.2258,86.1702, ,
1463.4769,87.234, ,
1464.6068,86.1702, ,
1465.6112, ,98.7535,
1468.5615,85.1064, ,
1468.8126, ,98.724,
1469.0009,86.1702, ,
1469.9425,85.1064, ,
1470.4446, ,98.6942,
1470.884,86.1702, ,
1471.2607,85.1064, ,
1471.5118, ,98.6641,
1474.1482,85.1064, ,
1475.3409,84.0426, ,
1478.9189, ,98.6337,
1479.735,82.9787, ,
1480.0488,84.0426, ,
1480.551, ,98.603,
1481.0532,82.9787, ,
1483.7524, ,98.5719,
1483.8779,81.9149, ,
1484.2546,82.9787, ,
1485.3217,81.9149, ,
1488.272,80.8511, ,
1488.7114,81.9149, ,
1489.653,80.8511, ,
1489.9041, ,98.5405,
1491.7245, ,98.5088,
1492.5405,79.7872, ,
1493.6077,79.7872, ,
1495.3025,78.7234, ,
1495.7419,79.7872, ,
1496.9974,78.7234, ,
1499.6966, ,98.4709,
1500.0105,77.6596, ,
1501.8309, ,98.4325,
1502.3958, ,98.3937,
1502.898,76.5957, ,
1503.9651, ,98.3544,
1506.0994,75.5319, ,
1507.6687,74.4681, ,
1507.7315, ,98.2065,
1510.8073,73.4043, ,
1511.435, ,98.0526,
1512.4394,72.3404, ,
1515.1386, ,97.8929,
1515.6408,71.2766, ,
1517.2101,70.2128, ,
1518.7794,69.1489, ,
1520.5371,68.0851, ,
1521.0392, ,97.7272,
1521.5414, ,97.5586,
1522.4202,67.0213, ,
1523.1735, ,97.3843,
1524.2406,65.9574, ,
1524.7428, ,97.2044,
1525.8099,64.8936, ,
1527.6931,63.8298, ,
1527.9442, ,97.0191,
1529.6391,62.766, ,
1531.3967,61.7021, ,
1533.2799,60.6383,96.8271,
1535.163,59.5745, ,
1535.4141, ,96.6297,
1536.9834, ,96.4267,
1537.0462,58.5106, ,
1538.9922,57.4468, ,
1540.1848, ,96.2184,
1540.9381,56.383, ,
1543.0096,55.3191, ,
1545.3322,54.2553, ,
1545.5205, ,96.002,
1546.3365, ,95.7801,
1547.4664,53.1915, ,
1547.6548, ,95.5527,
1549.6635,52.1277, ,
1550.354, ,95.3199,
1552.0488,51.0638, ,
1553.5554, ,95.0771,
1554.3714,50, ,
1556.6312,48.9362, ,
1558.891,47.8723, ,
1560.9625, ,94.8286,
1561.4647,46.8085, ,
1562.5946, ,94.5747,
1563.0968, ,94.3152,
1563.9756,45.7447, ,
1566.5493,44.6809, ,
1569.0602,43.617, ,
1570.5667, ,94.043,
1571.7594,42.5532, ,
1572.701, ,93.765,
1574.5841,41.4894, ,
1577.4089,40.4255, ,
1577.4717, ,93.4813,
1578.0366, ,93.192,
1580.1709,39.3617, ,
1581.7402, ,92.9002,
1583.2467,38.2979, ,
1584.4394, ,92.6029,
1586.0087, ,92.3001,
1586.2598,37.234, ,
1587.6408, ,91.992,
1588.7079, ,91.7018,
1589.4612,36.1702, ,
1592.4115, ,91.407,
1592.5998,35.1064, ,
1594.0436, ,91.1077,
1595.8012,34.0426, ,
1597.7472, ,90.8039,
1599.3165,32.9787, ,
1601.4507, ,90.5121,
1602.8317,31.9149, ,
1604.15, ,90.2163,
1606.5353,30.8511, ,
1607.728, ,89.9166,
1610.4272,29.7872, ,
1611.0549, ,89.6129,
1614.068,28.7234, ,
1614.8213, ,89.3177,
1618.0227,27.6596, ,
1618.5248, ,89.019,
1619.592, ,88.7166,
1622.1656,26.5957, ,
1622.2284, ,88.4108,
1625.4298, ,88.1114,
1626.6225,25.5319, ,
1627.0619, ,87.8088,
1629.1962, ,87.5028,
1630.2633, ,87.1937,
1631.0166,24.4681, ,
1632.8997, ,86.8897,
1633.4647, ,86.5827,
1635.6617,23.4043, ,
1636.6661, ,86.2727,
1637.7332, ,85.9597,
1639.8047, ,85.651,
1640.4324,22.3404, ,
1640.8718, ,85.3394,
1643.0061, ,85.0251,
1645.3915,21.2766, ,
1646.2075, ,84.7079,
1647.2746, ,84.3944,
1650.7899,20.2128, ,
1653.6774, ,84.0781,
1656.3139,19.1489, ,
1656.3766, ,83.7593,
1659.578, ,83.4378,
1662.5283,18.0851, ,
1664.3487, ,83.1195,
1666.9852, ,82.7986,
1667.5501, ,82.4753,
1668.0523, ,82.1494,
1668.7428,17.0213, ,
1669.1194, ,81.8263,
1671.2537, ,81.5008,
1671.8187, ,81.173,
1675.1456,15.9574, ,
1676.0872, ,80.8428,
1678.2214, ,80.515,
1682.4272,14.8936, ,
1689.3949, ,80.1849,
1690.0854,13.8298, ,
1693.0985, ,79.8526,
1695.2328, ,79.5181,
1697.367, ,79.1856,
1698.4342,12.766, ,
1698.9991, ,78.851,
1700.5684, ,78.5143,
1702.1378, ,78.1755,
1704.837, ,77.8385,
1706.5946,11.7021, ,
1710.1726, ,77.4994,
1712.3069, ,77.1584,
1715.5083, ,76.8153,
1716.0105,10.6383,76.4737,
1719.7768, ,76.1302,
1722.9154, ,75.7848,
1723.857, ,75.4374,
1726.1168,9.5745, ,
1726.6818, ,75.0912,
1730.3854, ,74.7432,
1734.1517, ,74.3933,
1736.7881, ,74.0417,
1737.667,8.5106, ,
1737.8553, ,73.6907,
1739.9895, ,73.338,
1741.3078, ,72.9835,
1744.7602, ,72.6274,
1746.3923, ,72.2713,
1749.5937, ,71.9136,
1750.1587,7.4468, ,
1752.2302, ,71.5542,
1757.0636, ,71.1932,
1758.1308, ,70.8315,
1758.633, ,70.4682,
1761.3322, ,70.1032,
1763.4664, ,69.7368,
1763.7175,6.383, ,
1767.17, ,69.3683,
1776.7742, ,68.9983,
1779.4106, ,68.6268,
1780.0384,5.3191, ,
1782.612, ,68.2538,
1784.2441, ,67.8768,
1784.7463, ,67.4984,
1786.8806, ,67.1184,
1790.082, ,66.737,
1793.2833, ,66.3484,
1796.4847, ,65.9583,
1799.2467,4.2553, ,
1799.435,4.2553, ,
1799.6861, ,65.5667,
