Time (min),CLK/CYC_ODE,CYC/CLK_ANIMO,
1213.8309, ,1.1111,
1214.0192, ,2.2222,
1214.898, ,1.1111,
1215.2119,8.8394, ,
1216.279,9.0305, ,
1217.3461, ,2.2222,
1217.8483, ,1.1111,
1218.8527, ,1.1111,
1220.0453,9.2227, ,
1220.1709, ,2.2222,
1222.1796,9.416, ,
1222.2424, ,1.1111,
1223.184, ,1.1111,
1223.5606, ,2.2222,
1225.6949, ,2.2222,
1225.8832,9.6105, ,
1226.762, ,2.2222,
1227.2014, ,3.3333,
1227.4525, ,2.2222,
1228.5196,9.806, ,
1228.6452, ,2.2222,
1229.9006, ,1.1111,
1230.34, ,3.3333,
1230.7167, ,2.2222,
1232.286,10.0026, ,
1233.7297, ,3.3333,
1233.7297, ,2.2222,
1237.0567,10.3695, ,
1237.0567,10.74, ,
1237.4333, ,3.3333,
1238.4377, ,2.2222,
1240.5092, ,3.3333,
1240.823,11.114, ,
1241.7018, ,2.2222,
1242.0157, ,3.3333,
1242.3923,11.4914, ,
1242.4551, ,2.2222,
1245.1543, ,3.3333,
1245.6565, ,2.2222,
1246.0959,11.8858, ,
1247.7908, ,3.3333,
1248.7951, ,2.2222,
1249.109, ,3.3333,
1249.5484, ,2.2222,
1250.9294, ,3.3333,
1251.9965,12.2837, ,
1253.0636,12.6851, ,
1253.252, ,2.2222,
1253.6914, ,3.3333,
1254.068, ,2.2222,
1254.1308,13.09, ,
1254.5074, ,3.3333,
1255.0096, ,3.3333,
1256.265,13.528, ,
1256.4534, ,3.3333,
1257.3322,13.9698, ,
1257.4577, ,2.2222,
1257.8971, ,4.4444,
1258.3365, ,3.3333,
1260.8474, ,3.3333,
1261.0357,14.4153, ,
1261.0985, ,4.4444,
1261.5379, ,3.3333,
1264.8021,14.8645, ,
1265.5554, ,4.4444,
1265.8065,15.3499, ,
1265.9948, ,3.3333,
1267.0619, ,3.3333,
1267.9407,15.8393, ,
1268.3801, ,4.4444,
1270.9538, ,3.3333,
1271.3932, ,5.5556,
1271.7071,16.3328,4.4444,
1272.7742,16.83, ,
1273.2764,17.3662, ,
1275.4106,17.9066, ,
1275.9128, ,5.5556,
1276.3522, ,4.4444,
1277.5449,18.4511, ,
1278.4237, ,5.5556,
1278.612,18.9997, ,
1279.7419, ,4.4444,
1280.1813, ,5.5556,
1280.6207, ,4.4444,
1281.3112,19.5857, ,
1281.6879, ,5.5556,
1284.1988, ,4.4444,
1284.2616,20.176, ,
1284.6382, ,5.5556,
1285.0776, ,4.4444,
1285.517, ,5.5556,
1285.8936, ,6.6667,
1286.333, ,5.5556,
1286.5841,20.7705, ,
1288.6556, ,6.6667,
1289.7228, ,5.5556,
1290.1622, ,6.6667,
1290.6016, ,5.5556,
1291.4176,21.3692, ,
1292.0453, ,6.6667,
1294.4935, ,6.6667,
1295.1212,21.9972, ,
1295.435, ,6.6667,
1296.2511, ,6.6667,
1297.8204,22.6294, ,
1298.762, ,5.5556,
1299.0759, ,7.7778,
1299.5153, ,6.6667,
1301.0218,23.2657, ,
1302.0889,23.906, ,
1302.5283, ,7.7778,
1302.9677, ,6.6667,
1303.2816, ,7.7778,
1304.2232,24.562, ,
1304.3487, ,6.6667,
1304.7881, ,7.7778,
1305.1648, ,6.6667,
1306.2319, ,8.8889,
1306.2947, ,7.7778,
1308.8056, ,6.6667,
1308.9939,25.2219, ,
1309.245, ,8.8889,
1309.6844, ,7.7778,
1312.6975,25.8856, ,
1314.3296,26.5528, ,
1316.2755,27.2223, ,
1316.4638, ,8.8889,
1317.5937, ,7.7778,
1318.0331, ,8.8889,
1318.4098, ,7.7778,
1319.6652, ,8.8889,
1321.6739,27.8952, ,
1322.1761, ,7.7778,
1322.6155, ,8.8889,
1322.9294, ,8.8889,
1323.3688,28.5712, ,
1324.0593, ,8.8889,
1324.4359,29.2503, ,
1326.5702,29.9233, ,
1326.6957, ,10,
1327.9512, ,8.8889,
1328.3278, ,10,
1328.6417, ,8.8889,
1329.2066,30.5989, ,
1330.0227, ,10,
1331.9058,31.2772, ,
1332.5336, ,10,
1333.4752,31.9579, ,
1334.4795, ,10,
1335.6722, ,10,
1337.116, ,11.1111,
1337.2415,32.6293, ,
1338.4342, ,11.1111,
1339.3758,33.3027,10,
1340.3173, ,11.1111,
1340.4429,33.9782, ,
1343.0793,34.6554, ,
1344.6486, ,12.2222,
1345.0881, ,11.1111,
1346.2807,35.3233, ,
1347.4734, ,12.2222,
1347.9128,35.9928, ,
1349.4821,36.6636, ,
1349.8588, ,11.1111,
1350.1726, ,12.2222,
1350.612, ,12.2222,
1352.1186,37.3357, ,
1353.1857,37.9996, ,
1353.7507,38.6645, ,
1354.2528, ,12.2222,
1354.6295, ,13.3333,
1355.32,39.3303, ,
1355.8849, ,12.2222,
1356.3243, ,13.3333,
1356.6382, ,12.2222,
1357.7053, ,14.4444,
1358.082, ,13.3333,
1359.5885,39.9969, ,
1360.7184, ,14.4444,
1361.8483, ,14.4444,
1362.2877,40.6566, ,
1363.041, ,13.3333,
1363.3548,41.3169,14.4444,
1364.1709, ,14.4444,
1364.9241,41.9775, ,
1364.9869, ,14.4444,
1365.4891,42.6384, ,
1367.6861, ,15.5556,
1368.1255,43.2941, ,
1368.8788, ,14.4444,
1369.2554, ,15.5556,
1369.6949, ,14.4444,
1371.0759, ,15.5556,
1373.0846, ,14.4444,
1373.524, ,15.5556,
1374.4656, ,15.5556,
1375.0305,43.9498, ,
1376.0976,44.6054, ,
1378.0436, ,16.6667,
1378.7969,45.2607, ,
1379.048, ,15.5556,
1379.4874, ,16.6667,
1379.864,45.9125,15.5556,
1380.9311,46.5638, ,
1381.3705, ,16.6667,
1383.7559, ,15.5556,
1384.1325,47.2146,16.6667,
1384.5719, ,15.5556,
1385.0113, ,16.6667,
1385.3252, ,17.7778,
1385.7646, ,16.6667,
1387.3339,47.8646, ,
1388.401, ,17.7778,
1389.6565, ,16.6667,
1390.0959, ,17.7778,
1390.4098, ,16.6667,
1391.0375,48.5129, ,
1391.6024, ,16.6667,
1391.9791, ,17.7778,
1392.7951, ,17.7778,
1394.7411,49.1602, ,
1395.8082,49.8065, ,
1395.9965, ,18.8889,
1396.4359, ,17.7778,
1396.8753,50.4516, ,
1397.4403, ,18.8889,
1397.8797, ,17.7778,
1398.5074,51.0969, ,
1399.0096, ,18.8889,
1401.7088,51.7408, ,
1402.3993, ,18.8889,
1403.592, ,18.8889,
1404.9102,52.3832, ,
1405.789, ,20,
1407.5466,53.0241,20,
1408.8021, ,18.8889,
1409.1787, ,20,
1409.5554, ,18.8889,
1409.6809,53.6673, ,
1411.8152,54.3088, ,
1412.3801, ,20,
1414.7027, ,18.8889,
1415.1421, ,20,
1415.5187,54.5877, ,
1415.5815, ,18.8889,
1415.8954, ,20,
1419.9756, ,21.1111,
1420.415, ,20,
1421.6704, ,20,
1422.4865,55.0614, ,
1422.8631, ,21.1111,
1426.1901,55.5342, ,
1426.3784, ,22.2222,
1426.6922, ,21.1111,
1427.6338, ,22.2222,
1427.9477, ,21.1111,
1429.8309, ,22.2222,
1429.9564,56.0061, ,
1433.8483, ,23.3333,
1434.2249, ,22.2222,
1435.2921, ,22.2222,
1436.7358, ,23.3333,
1437.3636,56.4406, ,
1439.3723, ,22.2222,
1439.7489, ,24.4444,
1440.1255, ,23.3333,
1440.565,56.8742, ,
1441.381, ,23.3333,
1443.5153, ,24.4444,
1443.8291, ,23.3333,
1444.2058, ,24.4444,
1445.524, ,23.3333,
1445.9006, ,24.4444,
1446.2772, ,23.3333,
1446.7167, ,24.4444,
1447.1561, ,25.5556,
1447.5327, ,24.4444,
1449.102,57.3069, ,
1450.2947, ,25.5556,
1451.3618, ,24.4444,
1451.8012, ,25.5556,
1452.6173, ,24.4444,
1453.6844, ,25.5556,
1454.9398,57.7387, ,
1457.0741,57.7693, ,
1458.1412, ,26.6667,
1458.3923, ,25.5556,
1460.7777, ,25.5556,
1460.8405,58.4086, ,
1461.0915, ,26.6667,
1462.9747,59.0453, ,
1463.4769, ,25.5556,
1463.9163, ,26.6667,
1464.1674, ,27.7778,
1464.6068, ,26.6667,
1465.6112,59.6793, ,
1467.3688, ,27.7778,
1468.8126,59.8227, ,
1470.4446,59.966, ,
1471.5118,60.1092, ,
1471.7629, ,28.8889,
1472.2023, ,27.7778,
1474.4621, ,28.8889,
1477.7262, ,30,
1478.9189,60.2522,28.8889,
1479.3583, ,30,
1479.7977, ,28.8889,
1480.551,60.395, ,
1481.0532, ,30,
1483.7524,60.5377, ,
1485.6983, ,31.1111,
1486.1378, ,30,
1487.3304, ,30,
1488.272, ,31.1111,
1489.9041,60.6803, ,
1491.4734, ,32.2222,
1491.7245,60.8227, ,
1492.7289, ,31.1111,
1493.1683, ,32.2222,
1494.0471, ,31.1111,
1494.4865, ,32.2222,
1494.9259, ,32.2222,
1498.5039, ,33.3333,
1498.8806, ,32.2222,
1499.32, ,33.3333,
1499.6966,60.9909, ,
1500.4499, ,32.2222,
1500.8265, ,33.3333,
1501.6425, ,33.3333,
1501.8309,61.1589, ,
1502.3958,61.3266, ,
1502.5841, ,33.3333,
1503.9651,61.4942, ,
1505.5344, ,34.4444,
1506.7271, ,34.4444,
1507.7315,62.1073, ,
1507.9826, ,33.3333,
1508.422, ,34.4444,
1508.8614, ,34.4444,
1510.1168, ,34.4444,
1511.435,62.7174, ,
1512.3766, ,35.5556,
1512.816, ,35.5556,
1514.1343, ,34.4444,
1514.3854, ,35.5556,
1515.1386,63.3243, ,
1515.3897, ,35.5556,
1518.9677, ,35.5556,
1520.286, ,34.4444,
1520.7254, ,35.5556,
1521.0392,63.928, ,
1521.1648, ,34.4444,
1521.5414,64.5189, ,
1522.4202, ,35.5556,
1523.1735,65.1066, ,
1524.7428,65.6909, ,
1526.061, ,36.6667,
1526.5004, ,35.5556,
1526.8771, ,36.6667,
1527.6931, ,35.5556,
1527.9442,66.2718, ,
1528.1325, ,36.6667,
1529.1369, ,36.6667,
1532.8405, ,37.7778,
1533.2799,66.8526, ,
1534.2214, ,37.7778,
1535.4141,67.4297,36.6667,
1535.8535, ,37.7778,
1536.0418, ,38.8889,
1536.4185, ,37.7778,
1536.9834,68.0033, ,
1539.871, ,38.8889,
1540.1848,68.5731, ,
1540.3104, ,38.8889,
1541.8169, ,38.8889,
1543.6373, ,40,
1544.5789, ,38.8889,
1544.8928, ,40,
1545.5205,69.1461,38.8889,
1546.3365,69.7152, ,
1546.6504, ,40,
1547.6548,70.2803, ,
1550.1029, ,41.1111,
1550.354,70.8415, ,
1550.4795, ,40,
1551.4839, ,41.1111,
1551.9233, ,40,
1552.9904, ,41.1111,
1553.1787, ,41.1111,
1553.5554,71.4093, ,
1557.51, ,42.2222,
1558.2633, ,41.1111,
1558.7027, ,42.2222,
1559.8954, ,41.1111,
1560.272, ,43.3333,
1560.9625,71.9729, ,
1561.2764, ,42.2222,
1561.7158, ,43.3333,
1562.1552, ,42.2222,
1562.5946,72.5321, ,
1563.0968,73.087, ,
1563.599, ,43.3333,
1567.3653, ,44.4444,
1567.8047, ,44.4444,
1569.0602, ,43.3333,
1569.4996, ,44.4444,
1569.8762, ,43.3333,
1570.3784, ,44.4444,
1570.5667,73.6525, ,
1572.701,74.2132, ,
1573.9564, ,45.5556,
1575.0235, ,44.4444,
1575.4629, ,45.5556,
1576.4045, ,44.4444,
1577.4089, ,45.5556,
1577.4717,74.7692, ,
1578.0366,75.3204, ,
1580.1709, ,45.5556,
1580.9869, ,45.5556,
1581.7402,75.8611, ,
1581.9913, ,46.6667,
1582.4307, ,45.5556,
1584.4394,76.3971, ,
1584.565, ,46.6667,
1586.0087,76.9282, ,
1587.5153, ,46.6667,
1587.6408,77.4545, ,
1587.9547, ,47.7778,
1588.7079,77.9377, ,
1589.0218, ,46.6667,
1589.9006, ,46.6667,
1591.3444, ,47.7778,
1592.4115,78.4167, ,
1594.0436,78.8914, ,
1594.1064, ,47.7778,
1594.5458, ,48.8889,
1594.9224, ,47.7778,
1595.9268, ,48.8889,
1596.3662, ,47.7778,
1597.7472,79.3619, ,
1598.3121, ,48.8889,
1598.6888, ,48.8889,
1600.8858, ,47.7778,
1601.2624, ,47.7778,
1601.4507,79.8034, ,
1602.204, ,48.8889,
1602.7062, ,47.7778,
1603.7733, ,47.7778,
1604.15,80.2411, ,
1605.1543, ,48.8889,
1607.728,80.6749, ,
1608.0418, ,48.8889,
1608.4813, ,50,
1608.9207, ,48.8889,
1609.9878, ,50,
1610.4272, ,48.8889,
1611.0549,81.1049, ,
1611.5571, ,50,
1614.8213,81.5139, ,
1616.1395, ,51.1111,
1616.4534, ,50,
1617.8344, ,50,
1618.5248,81.9194, ,
1618.8387, ,51.1111,
1619.592,82.3213, ,
1622.1656, ,52.2222,
1622.2284,82.7196, ,
1623.4211, ,51.1111,
1623.7977, ,52.2222,
1624.2371, ,51.1111,
1625.4298,83.1016, ,
1625.8065, ,52.2222,
1627.0619,83.4803, ,
1628.5057, ,52.2222,
1628.9451, ,53.3333,
1629.1962,83.8556, ,
1629.3217, ,52.2222,
1630.2633,84.2275, ,
1630.5144, ,53.3333,
1630.891, ,52.2222,
1632.6486, ,53.3333,
1632.8997,84.5862, ,
1633.4647,84.9417, ,
1634.8457, ,53.3333,
1636.5405, ,54.4444,
1636.6661,85.294, ,
1636.9799, ,53.3333,
1637.7332,85.6431, ,
1639.4908, ,53.3333,
1639.8047,85.9811, ,
1639.9303, ,54.4444,
1640.8718,86.316, ,
1641.2485, ,54.4444,
1642.5039, ,54.4444,
1642.8806, ,55.5556,
1643.0061,86.648, ,
1643.32, ,54.4444,
1646.1447, ,55.5556,
1646.2075,86.9768, ,
1647.2746,87.2962, ,
1647.3374, ,54.4444,
1647.714, ,55.5556,
1648.1534, ,54.4444,
1649.66, ,55.5556,
1652.1709, ,54.4444,
1652.6103, ,55.5556,
1653.6774,87.6126, ,
1656.3766,87.9261, ,
1656.6905, ,56.6667,
1657.1299, ,56.6667,
1658.3854, ,55.5556,
1658.8248, ,56.6667,
1659.578,88.2366, ,
1663.5327, ,57.7778,
1664.3487,88.5389, ,
1664.7881, ,56.6667,
1665.2276, ,57.7778,
1665.667, ,56.6667,
1666.9852,88.8384,57.7778,
1667.5501,89.135, ,
1668.0523,89.4288, ,
1669.1194,89.7153, ,
1669.8727, ,56.6667,
1670.2493, ,57.7778,
1670.6888, ,56.6667,
1671.2537,89.999, ,
1671.8187,90.28, ,
1671.8814, ,56.6667,
1673.4507, ,57.7778,
1676.0872,90.5583,56.6667,
1676.5266, ,57.7778,
1676.966, ,57.7778,
1678.2214,90.83,57.7778,
1680.7323, ,57.7778,
1681.1718, ,58.8889,
1682.4272, ,57.7778,
1682.8666, ,58.8889,
1683.306, ,57.7778,
1683.7454, ,58.8889,
1684.1848, ,60,
1684.6242, ,58.8889,
1687.449, ,60,
1688.7044, ,58.8889,
1689.1439, ,60,
1689.3949,91.099, ,
1690.0854, ,58.8889,
1690.5248, ,60,
1690.9643, ,60,
1693.0985,91.3654, ,
1694.4795, ,61.1111,
1694.9189, ,60,
1695.2328,91.6291, ,
1695.2956, ,61.1111,
1696.4882, ,60,
1696.9276, ,61.1111,
1697.367,91.8868,60,
1697.7437, ,61.1111,
1698.9991,92.142, ,
1700.5684,92.3945, ,
1702.075, ,62.2222,
1702.1378,92.6444, ,
1702.5144, ,61.1111,
1703.7071, ,61.1111,
1704.837,92.8889,62.2222,
1707.7873, ,62.2222,
1708.1639, ,63.3333,
1708.5405, ,62.2222,
1710.1726,93.1309, ,
1711.4281, ,63.3333,
1712.3069,93.3702, ,
1712.6207, ,62.2222,
1712.8718, ,63.3333,
1713.8762, ,62.2222,
1714.8178, ,63.3333,
1715.5083,93.6068, ,
1716.0105,93.8386, ,
1717.5798, ,63.3333,
1719.7768,94.0677, ,
1721.7855, ,64.4444,
1722.0366, ,63.3333,
1722.476, ,64.4444,
1722.9154,94.2942, ,
1723.6687, ,63.3333,
1723.857,94.518, ,
1724.1081, ,64.4444,
1724.5475, ,63.3333,
1724.9869, ,64.4444,
1726.6818,94.7373, ,
1727.3095, ,64.4444,
1728.4394, ,64.4444,
1730.3854,94.954, ,
1731.578, ,63.3333,
1732.7079, ,64.4444,
1733.1473, ,63.3333,
1734.1517,95.1679,64.4444,
1734.5283, ,63.3333,
1735.721, ,64.4444,
1736.7881,95.379, ,
1737.8553,95.586, ,
1738.6085, ,63.3333,
1739.048, ,65.5556,
1739.3618, ,64.4444,
1739.9895,95.7901, ,
1740.5545, ,64.4444,
1741.3078,95.9914, ,
1742.1866, ,65.5556,
1743.442, ,64.4444,
1743.8814, ,65.5556,
1744.3208, ,64.4444,
1744.7602,96.1898, ,
1745.388, ,64.4444,
1745.8274, ,65.5556,
1746.3923,96.3843, ,
1746.769, ,65.5556,
1748.15, ,64.4444,
1748.5266, ,65.5556,
1749.5937,96.5757, ,
1752.2302,96.7641, ,
1753.6112, ,66.6667,
1754.5527, ,65.5556,
1754.9294, ,66.6667,
1755.3688, ,65.5556,
1756.3731, ,66.6667,
1757.0636,96.9492, ,
1758.1308,97.1306, ,
1758.633,97.3087, ,
1760.1395, ,67.7778,
1760.5789, ,66.6667,
1761.3322,97.4832, ,
1763.0898, ,67.7778,
1763.4664,97.6541, ,
1764.3452, ,66.6667,
1764.6591, ,67.7778,
1765.6635, ,66.6667,
1766.6051, ,67.7778,
1767.17,97.8215, ,
1769.367, ,66.6667,
1769.6809, ,68.8889,
1770.1203, ,67.7778,
1773.51, ,68.8889,
1773.8867, ,67.7778,
1774.3261, ,68.8889,
1774.7655, ,67.7778,
1776.6486, ,68.8889,
1776.7742,97.9848, ,
1777.0881, ,67.7778,
1777.9669, ,68.8889,
1778.3435, ,67.7778,
1779.4106,98.1441, ,
1780.2895, ,68.8889,
1780.4778, ,67.7778,
1780.9172, ,68.8889,
1781.9215, ,67.7778,
1782.612,98.299, ,
1784.2441,98.4503, ,
1784.6835, ,68.8889,
1784.7463,98.5968, ,
1785.1229, ,67.7778,
1786.8806,98.7382, ,
1787.9477, ,68.8889,
1788.4499, ,67.7778,
1789.6425, ,66.6667,
1790.082,98.8741, ,
1791.1491, ,67.7778,
1791.5885, ,66.6667,
1793.2833,99.0063, ,
1794.1622, ,67.7778,
1795.4176, ,66.6667,
1795.7942, ,67.7778,
1796.1709, ,66.6667,
1796.4847,99.1321, ,
1797.4891, ,67.7778,
1798.6818, ,66.6667,
1799.1212, ,67.7778,
1799.435, ,66.6667,
1799.6861,99.2514, ,
