Time (min),PER_ANIMO,PER_ODE,
0,33.3333,60.4062,
18.7345, ,61.0405,
20.4423, ,61.6743,
31.1406, ,62.3075,
34.1039, ,62.9401,
36.8,44.4444, ,
38.3733, ,63.6024,
40.4827, ,64.2638,
43.0443, ,64.9239,
48.6194, ,65.5827,
51.1308, ,66.284,
53.6923, ,66.9834,
56.706, ,67.6807,
63.9386, ,68.3756,
64.7925, ,69.017,
65.6463, ,69.656,
71.6233, ,70.2925,
72.8,55.5556, ,
72.8789, ,70.9262,
75.8926, ,71.5525,
81.8696, ,72.1757,
83.979, ,72.7957,
86.0886, ,73.4122,
89.1022, ,73.9497,
92.0656, ,74.4843,
93.7733, ,75.0158,
95.0791, ,75.5441,
98.0425, ,76.0289,
102.3118, ,76.5107,
105.2752, ,76.9895,
107.435, ,77.4651,
110.6,66.6667, ,
115.1197, ,77.9211,
118.083, ,78.374,
124.9139, ,78.8236,
127.8773, ,79.27,
129.5849, ,79.7074,
133.0003, ,80.1415,
138.1234, ,80.5721,
140.685, ,80.9992,
146.21, ,81.4227,
147.0638, ,81.8425,
149.2235, ,82.2586,
150.0272, ,82.6709,
154.2,77.7778, ,
157.7119, ,83.0824,
160.2735, ,83.4899,
162.835, ,83.8934,
164.1409, ,84.2927,
165.8486, ,84.6928,
168.812, ,85.0885,
174.789, ,85.4798,
179.0583, ,85.8667,
181.1678, ,86.2549,
182.0217, ,86.6384,
184.1312, ,87.0171,
187.5465, ,87.391,
189.2543, ,87.7663,
191.8159, ,88.1366,
194.7792, ,88.5016,
199.0987, ,88.8615,
200.3544, ,89.2226,
202.9662, ,89.5782,
205.6,88.8889, ,
208.8929, ,89.9282,
211.0025, ,90.2727,
213.1622, ,90.6178,
215.7238, ,90.9571,
217.3813, ,91.2904,
227.3764, ,91.6178,
231.4949, ,91.9452,
232.7506, ,92.2663,
233.6045, ,92.5812,
234.4583, ,92.8897,
235.5131, ,93.1975,
236.5678, ,93.4987,
239.5815, ,93.7932,
243.8507, ,94.081,
250.6313, ,94.3674,
253.1929, ,94.6468,
256.2065, ,94.9192,
257.0603, ,95.1845,
260.0237, ,95.4477,
260.8776, ,95.7035,
269.4161, ,95.9519,
270.27, ,96.1929,
271.9777, ,96.4311,
274.8908, ,96.6615,
277.5026, ,96.8843,
277.6,100, ,
279.2103, ,97.0993,
279.6624, ,97.3107,
281.7719, ,97.5141,
282.6258, ,97.7094,
282.7262, ,97.8967,
285.5891, ,98.0797,
286.443, ,98.2543,
293.2738, ,98.4205,
294.1277, ,98.5783,
295.4336, ,98.7311,
297.1413, ,98.8751,
300.5065, ,99.0104,
306.9354, ,99.1369,
307.3373, ,99.2577,
309.497, ,99.3692,
315.4741, ,99.4716,
318.8392, ,99.5648,
324.4144, ,99.6513,
325.6701, ,99.7282,
328.6836, ,99.7954,
331.2452, ,99.8531,
332.5009, ,99.9027,
332.9027, ,99.9421,
340.1856, ,99.9715,
342.2951, ,99.9907,
343.149, ,100,
345.3087, ,99.9985,
347.9707, ,99.9861,
349.9798, ,99.963,
350.8337, ,99.9271,
353.797, ,99.8793,
354.2491, ,99.8197,
356.5092, ,99.7485,
360.226, ,99.6587,
362.3356, ,99.5556,
368.3125, ,99.4392,
376.8511, ,99.3097,
382.5267, ,99.1468,
383.6317, ,98.9673,
384.4855, ,98.7713,
387.4992, ,98.5589,
390.2616, ,98.3126,
392.1702, ,98.0479,
393.878, ,97.765,
395.1838, ,97.4641,
396.4395, ,97.4324,
399.0513, ,97.4006,
400.7088, ,97.3685,
410.5029, ,97.3363,
413.5166, ,97.3039,
414.3704, ,97.2713,
416.4297, ,97.2385,
417.3338, ,97.2056,
418.1876, ,97.038,
419.8954, ,96.866,
422.0049, ,96.6895,
427.5801, ,96.5085,
428.8357, ,96.4931,
430.5434, ,96.4777,
431.3973, ,96.4623,
432.2511, ,96.4468,
433.2055, ,96.4438,
439.4838, ,96.4407,
442.4974, ,96.4377,
443.3512, ,96.4346,
446.3146, ,96.4344,
449.278, ,96.4342,
449.6798, ,96.434,
449.73, ,96.4338,
450.1319, ,96.4337,
451.8396, ,96.4335,
452.6934, ,96.4333,
454.4012, ,96.4332,
459.5242, ,96.433,
460.3781, ,96.4329,
462.5379, ,96.4327,
466.1542, ,96.4325,
471.0261, ,96.4317,
473.186, ,96.4309,
473.5877, ,96.4301,
478.7108, ,96.4293,
485.9435, ,96.4253,
490.2128, ,96.4213,
492.473, ,96.4172,
494.9341, ,96.4132,
500.459, ,96.393,
502.1668, ,96.3727,
503.2215, ,96.3524,
503.8744, ,96.3321,
506.436, ,96.2295,
511.1071, ,96.1257,
512.6139, ,96.0206,
514.1207, ,95.9142,
515.3764, ,95.7174,
516.632, ,95.5165,
519.6457, ,95.3115,
520.0474, ,95.1024,
522.609, ,94.8821,
525.1705, ,94.6575,
528.1842, ,94.4287,
529.4398, ,94.1957,
532.2023, ,93.9384,
535.8186, ,93.6762,
536.6725, ,93.4092,
537.1245, ,93.1375,
538.8322, ,92.8347,
546.0649, ,92.5263,
546.9187, ,92.2124,
552.4437, ,91.893,
555.0053, ,91.5294,
556.3112, ,91.1591,
558.0188, ,90.7823,
558.4207, ,90.399,
565.6533, ,89.9448,
566.9592, ,89.4822,
575.4977, ,89.0112,
575.8996, ,88.5322,
577.6073, ,87.9093,
578.21, ,87.2738,
578.9132, ,86.6261,
579.767, ,85.9664,
581.8765, ,85.2972,
583.9861, ,84.6168,
585.292, ,83.9256,
588.7074, ,83.2239,
590.8169, ,82.513,
591.4699, ,81.7922,
593.8305, ,81.0621,
596.3921, ,80.3228,
598.5016, ,79.7199,
601.0631, ,79.1114,
602.7709, ,78.4976,
604.4785, ,77.8787,
604.4785, ,77.3314,
605.7342, ,76.7805,
608.7478, ,76.226,
610.8573, ,75.668,
612.5651, ,75.1442,
612.5651, ,74.6177,
613.871, ,74.0883,
615.5285, ,73.5564,
621.9574, ,73.0463,
622.8113, ,72.534,
624.519, ,72.0195,
625.66,88.8889, ,
626.2267, ,71.503,
628.7883, ,71.0023,
629.592, ,70.4999,
631.2996, ,69.9958,
635.5689, ,69.49,
640.893, ,68.9965,
642.3997, ,68.5016,
643.7056, ,68.0053,
645.4134, ,67.5078,
646.2672, ,67.02,
647.5228, ,66.5312,
647.9247, ,66.0412,
653.9016, ,65.5503,
656.9153, ,65.0675,
662.4402, ,64.5837,
663.7461, ,64.0992,
664.5497, ,63.6139,
665.4036, ,63.1354,
667.5633, ,62.6562,
673.9421, ,62.1764,
675.248, ,61.6961,
682.0789, ,61.2215,
683.3345, ,60.7465,
684.5902, ,60.2711,
686.2979, ,59.7953,
691.0192, ,59.3245,
693.9825, ,58.8533,
694.8365, ,58.382,
696.5441, ,57.9106,
699.5075, ,57.4433,
702.5212, ,56.9759,
706.3384, ,56.5086,
708.046, ,56.0412,
711.0597, ,55.5775,
713.6212, ,55.1139,
714.8769, ,54.6504,
716.9864, ,54.1871,
718.6941, ,53.727,
719.548, ,53.2672,
722.5616, ,52.8076,
723.2648, ,52.3483,
728.9404, ,51.8919,
731.502, ,51.4359,
733.511, ,50.9802,
734.0635, ,50.525,
734.9174, ,50.0725,
736.173, ,49.6204,
736.46,77.7778, ,
736.625, ,49.1689,
737.4789, ,48.7179,
739.1866, ,48.2694,
742.15, ,47.8215,
744.1591, ,47.3742,
746.0175, ,46.9276,
747.2731, ,46.4834,
750.2365, ,46.04,
753.2501, ,45.5972,
754.8071, ,45.1553,
756.2135, ,45.1291,
758.775, ,45.103,
761.7886, ,45.0768,
762.1904, ,45.0507,
763.0443, ,45.0464,
764.752, ,45.0422,
765.4552, ,45.0379,
767.3136, ,45.0336,
769.8751, ,45.0308,
771.5829, ,45.028,
773.6924, ,45.0251,
778.8155, ,45.0223,
781.3771, ,45.0194,
781.7789, ,45.0166,
782.6327, ,45.0137,
784.3405, ,45.0109,
790.3174, ,45.008,
793.331, ,45.0051,
797.1483, ,45.0022,
798.856, ,44.9993,
802.6732, ,44.9848,
805.6868, ,44.9703,
807.3945, ,44.9558,
808.6501, ,44.9414,
809.956, ,44.8689,
811.6638, ,44.7966,
812.0656, ,44.7242,
813.6226, ,44.6518,
814.6272, ,44.5831,
815.0289, ,44.5144,
815.8828, ,44.4457,
816.7367, ,44.377,
818.4444, ,44.034,
825.2752, ,43.6915,
826.9829, ,43.3495,
831.2522, ,43.0081,
833.3617, ,42.4946,
835.5215, ,41.9825,
839.46,66.6667, ,
840.1925, ,41.4717,
841.4984, ,40.9623,
844.06, ,40.4854,
846.6216, ,40.0098,
848.2791, ,39.5355,
849.585, ,39.0627,
850.4388, ,38.6173,
852.5484, ,38.1733,
856.4157, ,37.7306,
859.3791, ,37.2892,
859.8312, ,36.8758,
861.5389, ,36.4636,
864.5023, ,36.0527,
865.3561, ,35.6431,
867.0638, ,35.258,
868.3195, ,34.8742,
869.6254, ,34.4915,
872.5888, ,34.1101,
873.8947, ,33.7442,
874.7485, ,33.3794,
877.3101, ,33.0159,
879.4196, ,32.6535,
882.383, ,32.2905,
884.0907, ,31.9288,
886.6523, ,31.5684,
888.812, ,31.2093,
892.6293, ,30.8232,
895.1908, ,30.4386,
896.8985, ,30.0557,
897.7524, ,29.6743,
899.4601, ,29.2928,
900.314, ,28.9129,
901.1678, ,28.5347,
907.9986, ,28.1583,
912.2679, ,27.776,
914.3774, ,27.3955,
916.4869, ,27.0169,
919.5005, ,26.6402,
921.6101, ,26.2514,
922.0621, ,25.8648,
925.0255, ,25.4804,
927.587, ,25.0981,
929.2948, ,24.6974,
931.0024, ,24.2993,
933.564, ,23.9037,
937.26,55.5556, ,
937.8333, ,23.5106,
938.2351, ,23.0934,
940.7967, ,22.6793,
944.2121, ,22.2682,
945.518, ,21.8602,
947.1755, ,21.4243,
948.0293, ,20.992,
948.8832, ,20.5634,
949.7371, ,20.1386,
950.5909, ,19.686,
952.7506, ,19.2377,
954.8601, ,18.794,
955.3122, ,18.3548,
957.8738, ,17.8934,
959.1294, ,17.4373,
959.8326, ,16.9864,
960.4353, ,16.5407,
962.143, ,16.0824,
964.6544, ,15.6299,
966.8141, ,15.1832,
968.5219, ,14.7423,
969.7775, ,14.556,
972.3391, ,14.3707,
973.1929, ,14.1864,
976.2065, ,14.0033,
977.9142, ,13.8212,
980.8776, ,13.6402,
982.9871, ,13.4603,
986.0007, ,13.2815,
989.818, ,12.9532,
989.818, ,12.6286,
992.8315, ,12.3078,
994.0872, ,11.9908,
997.0506, ,11.6665,
1001.7719, ,11.3462,
1002.6257, ,11.0301,
1003.4796, ,10.7181,
1005.1873, ,10.388,
1006.0412, ,10.0626,
1009.0045, ,9.7421,
1012.0182, ,9.4263,
1012.8218, ,9.0932,
1014.5295, ,8.7656,
1017.5431, ,8.4435,
1018.397, ,8.1271,
1018.7988, ,7.7948,
1020.5064, ,7.469,
1022.2142, ,7.1496,
1023.068, ,6.8367,
1025.2277, ,6.5121,
1027.5885, ,6.1949,
1029.4468, ,5.8851,
1033.3143, ,5.5826,
1036.2777, ,5.2755,
1038.4374, ,4.9765,
1040.999, ,4.6857,
1041.8528, ,4.4031,
1043.5605, ,4.1238,
1047.3778, ,3.8531,
1048.06,44.4444, ,
1050.3412, ,3.591,
1051.6471, ,3.3377,
1053.2041, ,3.0935,
1057.5235, ,2.8582,
1058.8797, ,2.6316,
1059.7335, ,2.4139,
1061.4413, ,2.2079,
1063.5508, ,2.0106,
1065.7105, ,1.8222,
1066.9662, ,1.6426,
1069.9798, ,1.4747,
1071.6875, ,1.3156,
1072.5414, ,1.1652,
1074.6508, ,1.0236,
1077.2124, ,0.893,
1078.5183, ,0.771,
1079.774, ,0.6578,
1081.8835, ,0.5532,
1082.7374, ,0.4588,
1083.1895, ,0.373,
1084.4451, ,0.2959,
1087.8605, ,0.2276,
1090.0202, ,0.1687,
1090.8741, ,0.1185,
1092.1297, ,0.0771,
1092.5818, ,0.0444,
1094.6913, ,0.0208,
1100.2163, ,0.006,
1101.0701, ,0,
1103.2299, ,0.0029,
1104.0837, ,0.0147,
1104.9376, ,0.0354,
1107.4991, ,0.0651,
1110.0607, ,0.1038,
1113.0241, ,0.1516,
1115.9875, ,0.2084,
1116.8413, ,0.2744,
1117.6952, ,0.3496,
1119.0011, ,0.4343,
1121.5626, ,0.5282,
1124.1242, ,0.6316,
1126.2337, ,0.7445,
1127.9414, ,0.8676,
1129.6492, ,1.0003,
1132.86,33.3333, ,
1138.1877, ,1.0236,
1142.8587, ,1.1652,
1150.0914, ,1.3156,
1156.5204, ,1.4747,
1162.4472, ,1.6426,
1165.8626, ,1.8952,
1168.8762, ,2.0949,
1170.5839, ,2.3049,
1172.6935, ,2.5252,
1175.255, ,2.5766,
1176.5609, ,2.6285,
1177.4148, ,2.681,
1183.3415, ,2.734,
1184.6474, ,2.7876,
1187.209, ,2.8416,
1192.1312, ,2.8962,
1193.5877, ,2.9514,
1199.9665, ,3.0173,
1201.6743, ,3.084,
1202.1263, ,3.1514,
1203.3819, ,3.2195,
1206.3956, ,3.4761,
1209.3589, ,3.7428,
1212.3223, ,4.0195,
1212.86,22.2222, ,
1217.0436, ,4.3064,
1217.4454, ,4.5987,
1218.7513, ,4.9007,
1220.007, ,5.2125,
1222.5686, ,5.5341,
1226.8379, ,5.8675,
1228.5455, ,6.2107,
1229.8012, ,6.5638,
1232.3628, ,6.9268,
1236.6321, ,7.3042,
1237.285, ,7.6918,
1238.3398, ,8.0893,
1240.4995, ,8.4968,
1243.0611, ,8.9226,
1248.9878, ,9.3587,
1250.2937, ,9.805,
1250.6955, ,10.2616,
1256.6725, ,10.7414,
1258.3802, ,11.2318,
1262.1975, ,11.7329,
1262.6495, ,12.2446,
1265.6129, ,12.7613,
1267.7726, ,13.2882,
1269.0283, ,13.8253,
1270.3342, ,14.3725,
1271.188, ,14.8883,
1274.1514, ,15.4126,
1275.4573, ,15.9454,
1278.4207, ,16.4865,
1281.384, ,17.0064,
1283.5438, ,17.5336,
1286.4067, ,18.0682,
1289.0687, ,18.6099,
1292.0824, ,19.1366,
1295.0457, ,19.6698,
1295.8996, ,20.2095,
1298.0091, ,20.7555,
1300.5706, ,21.2899,
1301.8766, ,21.8301,
1303.056,11.1111, ,
1303.5843, ,22.3761,
1304.4381, ,22.9278,
1306.5476, ,23.4701,
1306.9997, ,24.0176,
1309.5613, ,24.5703,
1310.4151, ,25.1281,
1312.0726, ,25.678,
1312.9264, ,26.2327,
1314.6341, ,26.792,
1317.1957, ,27.356,
1318.0495, ,27.9131,
1323.1727, ,28.4745,
1325.3324, ,29.0402,
1327.894, ,29.61,
1331.7112, ,30.1738,
1333.8208, ,30.7414,
1334.2728, ,31.3129,
1334.6746, ,31.8881,
1335.5284, ,32.4579,
1337.2362, ,33.0312,
1337.6882, ,33.6079,
1341.1036, ,34.188,
1342.8113, ,34.7632,
1351.7517, ,35.3415,
1354.715, ,35.9228,
1356.4228, ,36.5071,
1358.1304, ,37.087,
1359.4364, ,37.6696,
1360.692, ,38.2549,
1361.9477, ,38.8429,
1364.1075, ,39.4268,
1368.3767, ,40.0131,
1370.0844, ,40.6018,
1372.646, ,41.1927,
1373.0478, ,41.7801,
1376.0614, ,42.3695,
1378.5727, ,42.9609,
1379.3261, ,43.5544,
1381.5864, ,44.1446,
1384.5498, ,44.7367,
1387.5633, ,45.3305,
1389.6728, ,45.9259,
1390.5267, ,46.5188,
1392.2344, ,47.1131,
1393.2892, ,47.7089,
1396.0516, ,48.306,
1397.3575, ,48.9014,
1399.9191, ,49.498,
1402.0287, ,50.0957,
1405.86,0, ,
1405.8961, ,50.6944,
1406.75, ,51.2926,
1407.1518, ,51.8917,
1409.3115, ,52.4917,
1411.0192, ,53.0924,
1413.9826, ,53.6944,
1421.6673, ,54.297,
1423.7768, ,54.9001,
1426.3383, ,55.5037,
1427.6442, ,56.1116,
1428.0461, ,56.7197,
1429.7538, ,57.3281,
1432.3154, ,57.9366,
1434.8769, ,58.5541,
1437.4384, ,59.1717,
1440,0,59.7891,
