Time (min),TIM_ANIMO,TIM_ODE,
0,42.3077,68.3538,
18.7345, ,68.9181,
18.8,46.1538, ,
20.4423, ,69.4807,
31.1406, ,70.0416,
34.1039, ,70.6007,
35.36,50, ,
38.3733, ,71.1849,
40.4827, ,71.7669,
43.0443, ,72.3465,
48.6194, ,72.9235,
50.4,53.8462, ,
51.1308, ,73.5363,
53.6923, ,74.1459,
56.706, ,74.752,
63.9386, ,75.3544,
64.7925, ,75.9089,
65.6463, ,76.4599,
66.96,57.6923, ,
71.6233, ,77.0072,
72.8789, ,77.5506,
75.8926, ,78.0862,
81.8696, ,78.6175,
82.2,61.5385, ,
83.979, ,79.1444,
86.0886, ,79.6668,
89.1022, ,80.1209,
92.0656, ,80.5712,
93.7733, ,81.0176,
95.0791, ,81.46,
98.0425, ,81.8648,
99.54,65.3846, ,
102.3118, ,82.266,
105.2752, ,82.6635,
107.435, ,83.0573,
115.1197, ,83.4337,
118.083, ,83.8065,
119.54,69.2308, ,
124.9139, ,84.1756,
127.8773, ,84.5409,
129.5849, ,84.8979,
133.0003, ,85.2511,
136.9,73.0769, ,
138.1234, ,85.6005,
140.685, ,85.946,
146.21, ,86.2876,
147.0638, ,86.6253,
149.2235, ,86.9589,
150.0272, ,87.2886,
156.76,76.9231, ,
157.7119, ,87.6167,
160.2735, ,87.9407,
162.835, ,88.2605,
164.1409, ,88.5761,
165.8486, ,88.8913,
168.812, ,89.2022,
174.789, ,89.5088,
179.0583, ,89.8109,
179.36,80.7692, ,
181.1678, ,90.1133,
182.0217, ,90.4111,
184.1312, ,90.7043,
187.5465, ,90.9929,
189.2543, ,91.2819,
191.8159, ,91.566,
194.7792, ,91.8454,
198.68,84.6154, ,
199.0987, ,92.12,
200.3544, ,92.3948,
202.9662, ,92.6645,
208.8929, ,92.9293,
211.0025, ,93.1892,
213.1622, ,93.4488,
215.7238, ,93.7032,
217.3813, ,93.9525,
220.74,88.4615, ,
227.3764, ,94.1966,
231.4949, ,94.44,
232.7506, ,94.6781,
233.6045, ,94.9109,
234.4583, ,95.1383,
235.5131, ,95.3645,
236.5678, ,95.5852,
239.5815, ,95.8003,
243.8507, ,96.01,
247.234,92.3077, ,
250.6313, ,96.2179,
253.1929, ,96.4202,
256.2065, ,96.6167,
257.0603, ,96.8076,
260.0237, ,96.9963,
260.8776, ,97.1791,
269.4161, ,97.356,
270.27, ,97.527,
271.9777, ,97.6954,
274.8908, ,97.8577,
277.5026, ,98.0139,
279.2103, ,98.1641,
279.6624, ,98.3112,
280.034,96.1538, ,
281.7719, ,98.452,
282.6258, ,98.5866,
282.7262, ,98.7149,
285.5891, ,98.8396,
286.443, ,98.9578,
293.2738, ,99.0695,
294.1277, ,99.1749,
295.4336, ,99.276,
297.1413, ,99.3705,
300.5065, ,99.4582,
306.9354, ,99.5393,
307.3373, ,99.6157,
309.497, ,99.685,
315.4741, ,99.7474,
318.8392, ,99.8028,
319.052,100, ,
324.4144, ,99.8527,
325.6701, ,99.8953,
328.6836, ,99.9307,
331.2452, ,99.9587,
332.5009, ,99.9802,
332.9027, ,99.9939,
340.1856, ,100,
342.2951, ,99.9984,
343.149, ,99.9887,
345.3087, ,99.9707,
347.9707, ,99.9445,
349.9798, ,99.9102,
350.8337, ,99.8652,
353.797, ,99.8111,
354.2491, ,99.7481,
356.5092, ,99.6762,
360.226, ,99.5888,
362.3356, ,99.4911,
368.3125, ,99.3833,
376.8511, ,99.2653,
382.5267, ,99.1192,
383.6317, ,98.9603,
384.4855, ,98.7886,
387.4992, ,98.6042,
390.2616, ,98.392,
392.1702, ,98.1653,
393.878, ,97.9244,
395.1838, ,97.6694,
396.4395, ,97.6426,
399.0513, ,97.6157,
400.7088, ,97.5886,
410.5029, ,97.5614,
413.5166, ,97.534,
414.3704, ,97.5065,
416.4297, ,97.4789,
417.3338, ,97.4511,
418.1876, ,97.3099,
419.8954, ,97.1652,
422.0049, ,97.0169,
427.5801, ,96.865,
428.8357, ,96.8521,
430.5434, ,96.8392,
431.3973, ,96.8263,
432.2511, ,96.8133,
433.2055, ,96.8108,
438.14,96.1538, ,
439.4838, ,96.8082,
442.4974, ,96.8057,
443.3512, ,96.8031,
446.3146, ,96.8029,
449.278, ,96.8028,
449.6798, ,96.8026,
449.73, ,96.8024,
450.1319, ,96.8023,
451.8396, ,96.8021,
452.6934, ,96.802,
454.4012, ,96.8019,
459.5242, ,96.8017,
460.3781, ,96.8016,
462.5379, ,96.8015,
466.1542, ,96.8013,
471.0261, ,96.8007,
473.186, ,96.8,
473.5877, ,96.7993,
478.7108, ,96.7986,
485.9435, ,96.7953,
490.2128, ,96.7919,
492.473, ,96.7885,
494.9341, ,96.7851,
500.459, ,96.7681,
502.1668, ,96.7511,
503.2215, ,96.734,
503.8744, ,96.7168,
506.436, ,96.6297,
511.1071, ,96.5407,
512.6139, ,96.4499,
514.1207, ,96.3572,
515.3764, ,96.1839,
516.632, ,96.0043,
519.6457, ,95.8186,
520.0474, ,95.6267,
522.609, ,95.422,
525.1705, ,95.2108,
528.1842, ,94.9929,
528.26,92.3077, ,
529.4398, ,94.7685,
532.2023, ,94.518,
535.8186, ,94.2598,
536.6725, ,93.9941,
537.1245, ,93.7209,
538.8322, ,93.4133,
546.0649, ,93.0969,
546.9187, ,92.7717,
552.4437, ,92.4379,
555.0053, ,92.0542,
556.3112, ,91.6599,
558.0188, ,91.2552,
558.4207, ,90.8402,
565.6533, ,90.3443,
566.9592, ,89.8349,
575.4977, ,89.3124,
575.8996, ,88.7769,
577.6073, ,88.0752,
578.21, ,87.3535,
578.9132, ,86.6125,
579.767, ,85.8527,
581.8765, ,85.0772,
583.9861, ,84.2844,
585.292, ,83.4749,
588.7074, ,82.6493,
588.74,88.4615, ,
590.8169, ,81.8093,
591.4699, ,80.9546,
593.8305, ,80.0857,
596.3921, ,79.2034,
598.5016, ,78.482,
601.0631, ,77.7526,
602.7709, ,77.0156,
604.4785, ,76.2711,
604.4785, ,75.6121,
605.7342, ,74.948,
608.7478, ,74.2788,
610.8573, ,73.6049,
612.5651, ,72.972,
612.5651, ,72.3353,
613.871, ,71.695,
615.5285, ,71.0513,
621.9574, ,70.4339,
622.8113, ,69.8137,
624.519, ,69.1909,
626.2267, ,68.5655,
628.7883, ,67.9594,
629.592, ,67.3513,
630.66,84.6154, ,
631.2996, ,66.7412,
635.5689, ,66.1293,
640.893, ,65.5324,
642.3997, ,64.934,
643.7056, ,64.3343,
645.4134, ,63.7333,
646.2672, ,63.1444,
647.5228, ,62.5546,
647.9247, ,61.9639,
653.9016, ,61.3723,
656.9153, ,60.7909,
662.4402, ,60.2089,
663.7461, ,59.6264,
664.5497, ,59.0435,
665.4036, ,58.4692,
667.5633, ,57.8947,
673.9421, ,57.32,
675.248, ,56.7453,
680.26,80.7692, ,
682.0789, ,56.1779,
683.3345, ,55.6107,
684.5902, ,55.0436,
686.2979, ,54.4768,
691.0192, ,53.9164,
693.9825, ,53.3564,
694.8365, ,52.7969,
696.5441, ,52.2379,
699.5075, ,51.6845,
702.5212, ,51.1319,
706.3384, ,50.5799,
708.046, ,50.0287,
711.0597, ,49.4826,
713.6212, ,48.9374,
714.8769, ,48.3931,
716.9864, ,47.8498,
718.6941, ,47.3111,
719.548, ,46.7735,
722.5616, ,46.2371,
723.2648, ,45.7018,
728.86,76.9231, ,
728.9404, ,45.1708,
731.502, ,44.6411,
733.511, ,44.1127,
734.0635, ,43.5858,
734.9174, ,43.0627,
736.173, ,42.5412,
736.625, ,42.0211,
737.4789, ,41.5027,
739.1866, ,40.988,
742.15, ,40.4749,
744.1591, ,39.9636,
746.0175, ,39.4539,
747.2731, ,38.948,
750.2365, ,38.4438,
753.2501, ,37.9415,
754.8071, ,37.441,
756.2135, ,37.4114,
758.775, ,37.3819,
761.7886, ,37.3523,
762.026,73.0769, ,
762.1904, ,37.3227,
763.0443, ,37.3179,
764.752, ,37.3131,
765.4552, ,37.3083,
767.3136, ,37.3034,
769.8751, ,37.3002,
771.5829, ,37.297,
773.6924, ,37.2938,
778.8155, ,37.2906,
781.3771, ,37.2874,
781.7789, ,37.2842,
782.6327, ,37.281,
784.3405, ,37.2777,
790.3174, ,37.2745,
793.331, ,37.2712,
797.1483, ,37.2679,
798.856, ,37.2646,
800.724,69.2308, ,
802.6732, ,37.2483,
805.6868, ,37.2319,
807.3945, ,37.2155,
808.6501, ,37.1991,
809.956, ,37.1173,
811.6638, ,37.0355,
812.0656, ,36.9538,
813.6226, ,36.8722,
814.6272, ,36.7946,
815.0289, ,36.7171,
815.8828, ,36.6397,
816.7367, ,36.5623,
818.4444, ,36.176,
825.2752, ,35.7911,
826.324,65.3846, ,
826.9829, ,35.4075,
831.2522, ,35.0252,
833.3617, ,34.4517,
835.5215, ,33.8815,
840.1925, ,33.3146,
841.4984, ,32.751,
844.06, ,32.2251,
846.6216, ,31.7023,
848.2791, ,31.1826,
849.585, ,30.6661,
850.4388, ,30.1813,
852.5484, ,29.6995,
855.324,61.5385, ,
856.4157, ,29.2207,
859.3791, ,28.7449,
859.8312, ,28.3007,
861.5389, ,27.8592,
864.5023, ,27.4206,
865.3561, ,26.9847,
867.0638, ,26.5763,
868.3195, ,26.1704,
869.6254, ,25.7671,
872.5888, ,25.3664,
873.8947, ,24.9832,
874.7485, ,24.6025,
877.3101, ,24.2242,
879.4196, ,23.8485,
882.383, ,23.4734,
884.0907, ,23.1008,
886.6523, ,22.7308,
887.324,57.6923, ,
888.812, ,22.3635,
892.6293, ,21.9699,
895.1908, ,21.5796,
896.8985, ,21.1923,
897.7524, ,20.8082,
899.4601, ,20.4254,
900.314, ,20.046,
901.1678, ,19.6698,
907.9986, ,19.2969,
911.924,53.8462, ,
912.2679, ,18.9198,
914.3774, ,18.5462,
916.4869, ,18.1762,
919.5005, ,17.8098,
921.6101, ,17.4335,
922.0621, ,17.061,
925.0255, ,16.6926,
927.587, ,16.3281,
929.2948, ,15.948,
931.0024, ,15.5725,
933.564, ,15.2015,
937.8333, ,14.835,
938.2351, ,14.4483,
940.7967, ,14.0668,
941.524,50, ,
944.2121, ,13.6906,
945.518, ,13.3196,
947.1755, ,12.9259,
948.0293, ,12.5383,
948.8832, ,12.1568,
949.7371, ,11.7815,
950.5909, ,11.3846,
952.7506, ,10.9948,
954.8601, ,10.6121,
955.3122, ,10.2365,
957.8738, ,9.8453,
959.1294, ,9.4621,
959.8326, ,9.0868,
960.4353, ,8.7193,
962.143, ,8.3451,
964.6544, ,7.9793,
966.8141, ,7.6218,
968.5219, ,7.2727,
969.26,46.1538, ,
969.7775, ,7.1262,
972.3391, ,6.9812,
973.1929, ,6.8377,
976.2065, ,6.6957,
977.9142, ,6.5553,
980.8776, ,6.4163,
982.9871, ,6.2789,
986.0007, ,6.143,
989.818, ,5.8953,
989.818, ,5.6529,
992.8315, ,5.4158,
994.0872, ,5.1839,
997.0506, ,4.9494,
998.26,42.3077, ,
1001.7719, ,4.7205,
1002.6257, ,4.4974,
1003.4796, ,4.2799,
1005.1873, ,4.0528,
1006.0412, ,3.8323,
1009.0045, ,3.6182,
1012.0182, ,3.4106,
1012.8218, ,3.1951,
1014.5295, ,2.9871,
1017.5431, ,2.7864,
1018.397, ,2.5929,
1018.7988, ,2.394,
1020.5064, ,2.2034,
1022.2142, ,2.021,
1023.068, ,1.8467,
1025.2277, ,1.6709,
1027.5885, ,1.5041,
1029.4468, ,1.3463,
1033.3143, ,1.1975,
1035.46,38.4615, ,
1036.2777, ,1.052,
1038.4374, ,0.9162,
1040.999, ,0.7899,
1041.8528, ,0.6731,
1043.5605, ,0.5639,
1047.3778, ,0.4645,
1050.3412, ,0.3749,
1051.6471, ,0.2949,
1053.2041, ,0.2247,
1057.5235, ,0.1641,
1058.8797, ,0.1131,
1059.7335, ,0.0715,
1061.4413, ,0.0398,
1063.5508, ,0.0174,
1065.7105, ,0.0041,
1066.06,34.6154, ,
1066.9662, ,0,
1069.9798, ,0.0049,
1071.6875, ,0.0187,
1072.5414, ,0.0413,
1074.6508, ,0.0728,
1077.2124, ,0.1123,
1078.5183, ,0.1604,
1079.774, ,0.2171,
1081.8835, ,0.2823,
1082.7374, ,0.3551,
1083.1895, ,0.4361,
1084.4451, ,0.5255,
1087.8605, ,0.6233,
1090.0202, ,0.7282,
1090.8741, ,0.8413,
1092.1297, ,0.9627,
1092.5818, ,1.0923,
1094.6913, ,1.229,
1100.2163, ,1.3738,
1101.0701, ,1.5268,
1103.2299, ,1.688,
1104.0837, ,1.8565,
1104.9376, ,2.0332,
1107.46,30.7692, ,
1107.4991, ,2.218,
1110.0607, ,2.411,
1113.0241, ,2.6119,
1115.9875, ,2.821,
1116.8413, ,3.0383,
1117.6952, ,3.2639,
1119.0011, ,3.4982,
1121.5626, ,3.7408,
1124.1242, ,3.9918,
1126.2337, ,4.2511,
1127.9414, ,4.5206,
1129.6492, ,4.7985,
1132.6125, ,4.7205,
1138.1877, ,4.9494,
1139.66,26.9231, ,
1141.1511, ,5.1839,
1144.1646, ,5.4158,
1150.0914, ,5.6529,
1152.653, ,5.8953,
1159.4838, ,6.143,
1164.1549, ,6.2789,
1165.8626, ,6.4637,
1166.86,23.0769, ,
1168.8762, ,6.8033,
1170.5839, ,7.1518,
1172.6935, ,7.5092,
1175.255, ,7.5915,
1176.5609, ,7.6743,
1177.4148, ,7.7576,
1183.3415, ,7.8413,
1184.6474, ,7.9255,
1187.209, ,8.0101,
1192.1312, ,8.0952,
1193.5877, ,8.1807,
1199.9665, ,8.2825,
1201.6743, ,8.3849,
1202.1263, ,8.488,
1203.3819, ,8.5917,
1204.06,19.2308, ,
1206.3956, ,8.9779,
1209.3589, ,9.3728,
1212.3223, ,9.7763,
1217.0436, ,10.1885,
1217.4454, ,10.6025,
1218.7513, ,11.0249,
1220.007, ,11.4555,
1222.5686, ,11.8945,
1226.8379, ,12.3443,
1228.5455, ,12.8024,
1229.8012, ,13.2688,
1232.3628, ,13.7434,
1233.86,15.3846, ,
1236.6321, ,14.2321,
1237.285, ,14.7292,
1238.3398, ,15.2346,
1240.4995, ,15.7482,
1243.0611, ,16.2802,
1248.9878, ,16.8206,
1250.2937, ,17.3693,
1250.6955, ,17.9263,
1256.6725, ,18.5071,
1258.3802, ,19.0964,
1262.1975, ,19.6941,
1262.6495, ,20.3002,
1265.6129, ,20.908,
1267.7726, ,21.5238,
1269.0283, ,22.1474,
1270.3342, ,22.7787,
1271.188, ,23.3703,
1274.1514, ,23.9682,
1275.4573, ,24.5724,
1276.06,11.5385, ,
1278.4207, ,25.1828,
1281.384, ,25.7662,
1283.5438, ,26.355,
1286.4067, ,26.9489,
1289.0687, ,27.548,
1292.0824, ,28.1277,
1295.0457, ,28.712,
1295.8996, ,29.3006,
1298.0091, ,29.8936,
1300.5706, ,30.4715,
1301.8766, ,31.0533,
1303.5843, ,31.6388,
1304.4381, ,32.2281,
1306.5476, ,32.8049,
1306.9997, ,33.3851,
1309.5613, ,33.9685,
1310.374,7.6923, ,
1310.4151, ,34.555,
1312.0726, ,35.1311,
1312.9264, ,35.71,
1314.6341, ,36.2916,
1317.1957, ,36.8759,
1318.0495, ,37.451,
1323.1727, ,38.0286,
1325.3324, ,38.6084,
1327.894, ,39.1905,
1331.7112, ,39.7645,
1333.8208, ,40.3405,
1334.2728, ,40.9184,
1334.6746, ,41.4982,
1335.5284, ,42.0707,
1337.2362, ,42.6448,
1337.6882, ,43.2205,
1341.1036, ,43.7977,
1342.8113, ,44.3683,
1351.7517, ,44.9402,
1354.715, ,45.5134,
1356.4228, ,46.0877,
1358.1304, ,46.6559,
1359.4364, ,47.2252,
1360.692, ,47.7954,
1361.9477, ,48.3665,
1362.032,3.8462, ,
1364.1075, ,48.9321,
1368.3767, ,49.4984,
1370.0844, ,50.0654,
1372.646, ,50.633,
1373.0478, ,51.1956,
1376.0614, ,51.7586,
1378.5727, ,52.3221,
1379.3261, ,52.8859,
1381.5864, ,53.4453,
1384.5498, ,54.0049,
1387.5633, ,54.5647,
1389.6728, ,55.1247,
1390.5267, ,55.6808,
1392.2344, ,56.2369,
1393.2892, ,56.7931,
1396.0516, ,57.3491,
1397.3575, ,57.9022,
1399.9191, ,58.455,
1401.66,0, ,
1402.0287, ,59.0077,
1405.8961, ,59.56,
1406.75, ,60.1106,
1407.1518, ,60.6607,
1409.3115, ,61.2104,
1411.0192, ,61.7595,
1413.9826, ,62.3087,
1421.6673, ,62.8572,
1423.7768, ,63.405,
1426.3383, ,63.9521,
1427.6442, ,64.5019,
1428.0461, ,65.0507,
1429.7538, ,65.5987,
1432.3154, ,66.1456,
1434.8769, ,66.6995,
1437.4384, ,67.2522,
1440,0,67.8037,
