Time (min),pdp1_ANIMO,pdp1_ODE,
0,73.913,68.8157,
15.44,78.2609, ,
18.7345, ,69.3804,
20.4423, ,69.9438,
31.1406, ,70.5058,
31.2,82.6087, ,
34.1039, ,71.0662,
38.3733, ,71.6521,
40.4827, ,72.2358,
43.0443, ,72.8173,
47.3,86.9565, ,
48.6194, ,73.3963,
51.1308, ,74.0112,
53.6923, ,74.6227,
56.706, ,75.2306,
63.9386, ,75.8347,
64.7925, ,76.3904,
65.6463, ,76.9423,
71.5,91.3043, ,
71.6233, ,77.4903,
72.8789, ,78.034,
75.8926, ,78.5695,
81.8696, ,79.1005,
83.979, ,79.6268,
86.0886, ,80.1481,
89.1022, ,80.6011,
92.0656, ,81.0501,
93.7733, ,81.495,
95.0791, ,81.9356,
96.5,95.6522, ,
98.0425, ,82.3387,
102.3118, ,82.7381,
105.2752, ,83.1337,
107.435, ,83.5255,
115.1197, ,83.9,
118.083, ,84.2707,
124.9139, ,84.6378,
127.8773, ,85.0011,
129.5849, ,85.3561,
133.0003, ,85.7073,
138.1234, ,86.0548,
140.685, ,86.3984,
145.1,100, ,
146.21, ,86.7382,
147.0638, ,87.0741,
149.2235, ,87.4061,
150.0272, ,87.7341,
157.7119, ,88.0607,
160.2735, ,88.3832,
162.835, ,88.7016,
164.1409, ,89.016,
165.8486, ,89.3301,
168.812, ,89.6399,
174.789, ,89.9454,
179.0583, ,90.2467,
181.1678, ,90.5482,
182.0217, ,90.8453,
184.1312, ,91.1378,
187.5465, ,91.4259,
189.2543, ,91.7143,
191.8159, ,91.998,
194.7792, ,92.277,
199.0987, ,92.5512,
200.3544, ,92.8256,
202.9662, ,93.095,
208.8929, ,93.3594,
211.0025, ,93.6189,
213.1622, ,93.8781,
215.7238, ,94.1321,
217.3813, ,94.3809,
227.3764, ,94.6244,
231.4949, ,94.8671,
232.7506, ,95.1044,
233.6045, ,95.3362,
234.4583, ,95.5625,
235.5131, ,95.7874,
236.5678, ,96.0066,
239.5815, ,96.22,
243.8507, ,96.4276,
250.6313, ,96.6333,
253.1929, ,96.8329,
256.2065, ,97.0266,
257.0603, ,97.2142,
260.0237, ,97.3991,
260.8776, ,97.5778,
269.4161, ,97.7502,
270.27, ,97.9163,
271.9777, ,98.0791,
274.8908, ,98.2354,
277.5026, ,98.385,
279.2103, ,98.5281,
279.6624, ,98.6673,
281.7719, ,98.7996,
282.6258, ,98.925,
282.7262, ,99.0435,
285.5891, ,99.1574,
286.443, ,99.2641,
293.2738, ,99.3637,
294.1277, ,99.4559,
295.4336, ,99.5429,
297.1413, ,99.6223,
300.5065, ,99.6942,
306.9354, ,99.7585,
307.3373, ,99.8166,
309.497, ,99.8667,
311.7,95.6522, ,
315.4741, ,99.9088,
318.8392, ,99.943,
324.4144, ,99.9699,
325.6701, ,99.9884,
328.6836, ,99.9984,
331.2452, ,100,
332.5009, ,99.9928,
332.9027, ,99.9766,
340.1856, ,99.9515,
342.2951, ,99.9174,
343.149, ,99.8723,
345.3087, ,99.8175,
347.9707, ,99.753,
349.9798, ,99.6789,
350.8337, ,99.5903,
353.797, ,99.4909,
354.2491, ,99.3809,
356.5092, ,99.2603,
360.226, ,99.1185,
362.24,91.3043, ,
362.3356, ,98.9644,
368.3125, ,98.798,
376.8511, ,98.6196,
382.5267, ,98.4024,
383.6317, ,98.1696,
384.4855, ,97.9215,
387.4992, ,97.6581,
390.2616, ,97.3579,
392.1702, ,97.0402,
393.878, ,96.7052,
395.1838, ,96.3531,
396.4395, ,96.3162,
399.0513, ,96.2792,
400.7088, ,96.242,
410.5029, ,96.2046,
412.78,86.9565, ,
413.5166, ,96.167,
414.3704, ,96.1293,
416.4297, ,96.0913,
417.3338, ,96.0532,
418.1876, ,95.8601,
419.8954, ,95.6627,
422.0049, ,95.4609,
427.5801, ,95.2547,
428.8357, ,95.2372,
430.5434, ,95.2197,
431.3973, ,95.2022,
432.2511, ,95.1846,
433.2055, ,95.1812,
439.4838, ,95.1777,
442.4974, ,95.1743,
443.3512, ,95.1708,
446.3146, ,95.1706,
449.18,82.6087, ,
449.278, ,95.1703,
449.6798, ,95.1701,
449.73, ,95.1699,
450.1319, ,95.1697,
451.8396, ,95.1695,
452.6934, ,95.1693,
454.4012, ,95.1691,
459.5242, ,95.1689,
460.3781, ,95.1688,
462.5379, ,95.1686,
466.1542, ,95.1684,
471.0261, ,95.1675,
473.186, ,95.1666,
473.5877, ,95.1656,
478.7108, ,95.1647,
485.9435, ,95.1602,
490.2128, ,95.1556,
492.473, ,95.151,
494.9341, ,95.1464,
500.459, ,95.1235,
502.1668, ,95.1005,
503.2215, ,95.0775,
503.8744, ,95.0544,
506.436, ,94.9383,
511.1071, ,94.8209,
512.6139, ,94.7023,
513.98,78.2609, ,
514.1207, ,94.5824,
515.3764, ,94.3612,
516.632, ,94.1359,
519.6457, ,93.9065,
520.0474, ,93.673,
522.609, ,93.4277,
525.1705, ,93.1782,
528.1842, ,92.9243,
529.4398, ,92.6663,
532.2023, ,92.3819,
535.8186, ,92.0927,
536.6725, ,91.7986,
537.1245, ,91.4997,
538.8322, ,91.167,
546.0649, ,90.8288,
546.9187, ,90.4849,
552.4437, ,90.1355,
555.0053, ,89.738,
556.3112, ,89.3337,
557.18,73.913, ,
558.0188, ,88.9227,
558.4207, ,88.505,
565.6533, ,88.0104,
566.9592, ,87.507,
575.4977, ,86.995,
575.8996, ,86.4744,
577.6073, ,85.7978,
578.21, ,85.1079,
578.9132, ,84.4049,
579.767, ,83.6891,
581.8765, ,82.963,
583.9861, ,82.2248,
585.292, ,81.4748,
588.7074, ,80.7133,
590.8169, ,79.9415,
591.4699, ,79.1589,
593.8305, ,78.3657,
596.3921, ,77.5623,
598.5016, ,76.9068,
601.0631, ,76.2449,
602.7709, ,75.5769,
604.4785, ,74.903,
604.4785, ,74.3069,
605.7342, ,73.7065,
606.98,69.5652, ,
608.7478, ,73.1018,
610.8573, ,72.493,
612.5651, ,71.9213,
612.5651, ,71.3463,
613.871, ,70.7679,
615.5285, ,70.1864,
621.9574, ,69.6285,
622.8113, ,69.0678,
624.519, ,68.5045,
626.2267, ,67.9386,
628.7883, ,67.3899,
629.592, ,66.8388,
631.2996, ,66.2856,
635.5689, ,65.7303,
640.893, ,65.1882,
642.3997, ,64.6443,
643.7056, ,64.0985,
645.4134, ,63.5511,
646.2672, ,63.0141,
647.5228, ,62.4756,
647.9247, ,61.9357,
653.26,65.2174, ,
653.9016, ,61.3944,
656.9153, ,60.8616,
662.4402, ,60.3277,
663.7461, ,59.7925,
664.5497, ,59.2563,
665.4036, ,58.7272,
667.5633, ,58.1971,
673.9421, ,57.6661,
675.248, ,57.1342,
682.0789, ,56.6083,
683.3345, ,56.0818,
684.5902, ,55.5545,
686.2979, ,55.0266,
691.0192, ,54.5038,
693.9825, ,53.9805,
694.8365, ,53.4567,
696.5441, ,52.9325,
699.5075, ,52.4127,
702.5212, ,51.8925,
706.3384, ,51.3721,
708.046, ,50.8515,
711.0597, ,50.3347,
713.6212, ,49.8178,
714.8769, ,49.3008,
716.664,60.8696, ,
716.9864, ,48.7837,
718.6941, ,48.27,
719.548, ,47.7564,
722.5616, ,47.2428,
723.2648, ,46.7294,
728.9404, ,46.219,
731.502, ,45.7088,
733.511, ,45.1989,
734.0635, ,44.6893,
734.9174, ,44.1825,
736.173, ,43.676,
736.625, ,43.17,
737.4789, ,42.6645,
739.1866, ,42.1615,
742.15, ,41.6592,
744.1591, ,41.1574,
746.0175, ,40.6562,
747.2731, ,40.1577,
750.2365, ,39.6598,
753.2501, ,39.1627,
754.8071, ,38.6664,
756.2135, ,38.637,
758.775, ,38.6076,
759.26,56.5217, ,
761.7886, ,38.5782,
762.1904, ,38.5489,
763.0443, ,38.5441,
764.752, ,38.5393,
765.4552, ,38.5345,
767.3136, ,38.5297,
769.8751, ,38.5265,
771.5829, ,38.5233,
773.6924, ,38.5201,
778.8155, ,38.517,
781.3771, ,38.5138,
781.7789, ,38.5106,
782.6327, ,38.5074,
784.3405, ,38.5042,
790.3174, ,38.5009,
793.331, ,38.4977,
797.1483, ,38.4944,
798.856, ,38.4912,
802.6732, ,38.4749,
805.6868, ,38.4586,
807.3945, ,38.4424,
808.6501, ,38.4261,
809.956, ,38.3448,
811.6638, ,38.2634,
812.0656, ,38.1822,
813.6226, ,38.1009,
814.6272, ,38.0237,
815.0289, ,37.9465,
815.8828, ,37.8693,
816.7367, ,37.7922,
817.356,52.1739, ,
818.4444, ,37.4068,
825.2752, ,37.022,
826.9829, ,36.6378,
831.2522, ,36.2543,
833.3617, ,35.6774,
835.5215, ,35.1021,
840.1925, ,34.5284,
841.4984, ,33.9563,
844.06, ,33.4208,
846.6216, ,32.887,
848.2791, ,32.3548,
849.585, ,31.8245,
850.4388, ,31.3253,
852.5484, ,30.8278,
856.4157, ,30.3321,
859.3791, ,29.8383,
859.8312, ,29.3762,
861.5389, ,28.9159,
864.5023, ,28.4575,
865.3561, ,28.0009,
867.0638, ,27.5723,
868.3195, ,27.1455,
869.492,47.8261, ,
869.6254, ,26.7206,
872.5888, ,26.2978,
873.8947, ,25.8927,
874.7485, ,25.4897,
877.3101, ,25.0887,
879.4196, ,24.6897,
882.383, ,24.2909,
884.0907, ,23.8944,
886.6523, ,23.5002,
888.812, ,23.1084,
892.6293, ,22.6882,
895.1908, ,22.2711,
896.8985, ,21.857,
897.7524, ,21.446,
899.4601, ,21.0362,
900.314, ,20.6297,
901.1678, ,20.2266,
907.9986, ,19.8269,
912.2679, ,19.4227,
914.3774, ,19.0222,
916.4869, ,18.6255,
919.5005, ,18.2327,
921.6101, ,17.8293,
922.0621, ,17.4302,
925.0255, ,17.0354,
925.46,43.4783, ,
927.587, ,16.6451,
929.2948, ,16.2382,
931.0024, ,15.8364,
933.564, ,15.4395,
937.8333, ,15.0478,
938.2351, ,14.6347,
940.7967, ,14.2275,
944.2121, ,13.8262,
945.518, ,13.4309,
947.1755, ,13.0116,
948.0293, ,12.5993,
948.8832, ,12.1938,
949.7371, ,11.7953,
950.5909, ,11.3745,
952.7506, ,10.9616,
954.8601, ,10.5568,
955.3122, ,10.16,
957.8738, ,9.7475,
959.1294, ,9.344,
959.8326, ,8.9494,
960.4353, ,8.5639,
962.143, ,8.1721,
964.6544, ,7.7899,
966.8141, ,7.4174,
968.5219, ,7.0544,
969.7775, ,6.9024,
972.3391, ,6.7522,
973.1929, ,6.6036,
976.2065, ,6.4568,
977.9142, ,6.3118,
980.8776, ,6.1684,
982.9871, ,6.0268,
986.0007, ,5.887,
986.06,39.1304, ,
989.818, ,5.6324,
989.818, ,5.3837,
992.8315, ,5.1409,
994.0872, ,4.9039,
997.0506, ,4.6647,
1001.7719, ,4.4317,
1002.6257, ,4.2048,
1003.4796, ,3.9842,
1005.1873, ,3.7544,
1006.0412, ,3.5316,
1009.0045, ,3.3159,
1012.0182, ,3.1073,
1012.8218, ,2.8914,
1014.5295, ,2.6835,
1017.5431, ,2.4836,
1018.397, ,2.2916,
1018.7988, ,2.095,
1020.5064, ,1.9075,
1022.2142, ,1.729,
1023.068, ,1.5594,
1025.2277, ,1.3894,
1027.5885, ,1.2294,
1029.4468, ,1.0793,
1033.3143, ,0.9392,
1036.2777, ,0.8037,
1038.4374, ,0.6789,
1040.999, ,0.5648,
1041.8528, ,0.4612,
1043.5605, ,0.3667,
1045.46,34.7826, ,
1047.3778, ,0.283,
1050.3412, ,0.2103,
1051.6471, ,0.1483,
1053.2041, ,0.0973,
1057.5235, ,0.057,
1058.8797, ,0.0273,
1059.7335, ,0.0083,
1061.4413, ,0,
1063.5508, ,0.002,
1065.7105, ,0.0142,
1066.9662, ,0.0367,
1069.9798, ,0.0687,
1071.6875, ,0.1105,
1072.5414, ,0.1622,
1074.6508, ,0.2236,
1077.2124, ,0.2935,
1078.5183, ,0.3728,
1079.774, ,0.4614,
1081.8835, ,0.5594,
1082.7374, ,0.6652,
1083.1895, ,0.7799,
1084.4451, ,0.9037,
1086.26,30.4348, ,
1087.8605, ,1.0364,
1090.0202, ,1.1765,
1090.8741, ,1.3252,
1092.1297, ,1.4827,
1092.5818, ,1.6488,
1094.6913, ,1.8221,
1100.2163, ,2.0039,
1101.0701, ,2.1941,
1103.2299, ,2.3928,
1104.0837, ,2.5987,
1104.9376, ,2.813,
1107.4991, ,3.0355,
1110.0607, ,3.2662,
1113.0241, ,3.5046,
1115.9875, ,3.7512,
1116.8413, ,4.0059,
1117.26,26.087, ,
1117.6952, ,4.2687,
1119.0011, ,4.54,
1121.5626, ,4.8194,
1124.1242, ,5.1067,
1126.2337, ,5.4021,
1127.9414, ,5.7073,
1129.6492, ,6.0204,
1136.8818, ,6.1684,
1140.1968, ,6.3118,
1142.8587, ,6.4568,
1147.128, ,6.6036,
1149.66,21.7391, ,
1151.3973, ,6.7522,
1156.5204, ,6.9024,
1162.4472, ,7.0544,
1164.1549, ,7.4174,
1165.8626, ,7.8663,
1168.8762, ,8.237,
1170.5839, ,8.6158,
1172.6935, ,9.0025,
1175.255, ,9.0913,
1176.5609, ,9.1805,
1177.4148, ,9.2702,
1183.3415, ,9.3602,
1184.6474, ,9.4506,
1185.46,17.3913, ,
1187.209, ,9.5415,
1192.1312, ,9.6328,
1193.5877, ,9.7244,
1199.9665, ,9.8333,
1201.6743, ,9.9428,
1202.1263, ,10.0529,
1203.3819, ,10.1635,
1206.3956, ,10.5743,
1209.3589, ,10.9925,
1212.3223, ,11.4182,
1217.0436, ,11.8513,
1217.4454, ,12.2846,
1218.7513, ,12.725,
1220.007, ,13.1724,
1222.5686, ,13.6268,
1223.06,13.0435, ,
1226.8379, ,14.0907,
1228.5455, ,14.5615,
1229.8012, ,15.0392,
1232.3628, ,15.5237,
1236.6321, ,16.021,
1237.285, ,16.5251,
1238.3398, ,17.036,
1240.4995, ,17.5536,
1243.0611, ,18.0882,
1248.9878, ,18.6296,
1250.2937, ,19.1778,
1250.6955, ,19.7327,
1256.6725, ,20.3097,
1258.3802, ,20.8936,
1262.1975, ,21.4844,
1262.6495, ,22.0819,
1262.66,8.6957, ,
1265.6129, ,22.6798,
1267.7726, ,23.2841,
1269.0283, ,23.8948,
1270.3342, ,24.5118,
1271.188, ,25.0888,
1274.1514, ,25.6711,
1275.4573, ,26.2586,
1278.4207, ,26.8512,
1281.384, ,27.4168,
1283.5438, ,27.9868,
1286.4067, ,28.5612,
1289.0687, ,29.1398,
1292.0824, ,29.6993,
1295.0457, ,30.2625,
1295.8996, ,30.8295,
1298.0091, ,31.4003,
1300.5706, ,31.9561,
1301.8766, ,32.5153,
1303.5843, ,33.0778,
1304.4381, ,33.6435,
1304.46,4.3478, ,
1306.5476, ,34.1972,
1306.9997, ,34.7538,
1309.5613, ,35.3134,
1310.4151, ,35.8758,
1312.0726, ,36.4281,
1312.9264, ,36.983,
1314.6341, ,37.5405,
1317.1957, ,38.1005,
1318.0495, ,38.6518,
1323.1727, ,39.2055,
1325.3324, ,39.7614,
1327.894, ,40.3196,
1331.7112, ,40.8702,
1333.8208, ,41.4228,
1334.2728, ,41.9775,
1334.6746, ,42.5341,
1335.5284, ,43.084,
1337.2362, ,43.6356,
1337.6882, ,44.1891,
1341.1036, ,44.7443,
1342.8113, ,45.2934,
1351.7517, ,45.8441,
1354.715, ,46.3963,
1356.4228, ,46.95,
1358.1304, ,47.4983,
1359.4364, ,48.0479,
1360.692, ,48.5988,
1361.9477, ,49.1511,
1364.1075, ,49.6984,
1368.3767, ,50.2468,
1370.0844, ,50.7964,
1372.646, ,51.347,
1373.0478, ,51.8933,
1376.0614, ,52.4404,
1378.5727, ,52.9886,
1379.3261, ,53.5375,
1381.5864, ,54.0827,
1384.5498, ,54.6286,
1387.5633, ,55.1752,
1388.704,0, ,
1389.6728, ,55.7225,
1390.5267, ,56.2666,
1392.2344, ,56.8113,
1393.2892, ,57.3565,
1396.0516, ,57.9021,
1397.3575, ,58.4455,
1399.9191, ,58.9892,
1402.0287, ,59.5332,
1405.8961, ,60.0774,
1406.75, ,60.6205,
1407.1518, ,61.1638,
1409.3115, ,61.7071,
1411.0192, ,62.2505,
1413.9826, ,62.7945,
1421.6673, ,63.3383,
1423.7768, ,63.882,
1426.3383, ,64.4254,
1427.6442, ,64.9721,
1428.0461, ,65.5184,
1429.7538, ,66.0642,
1432.3154, ,66.6095,
1434.8769, ,67.1623,
1437.4384, ,67.7143,
1440,0,68.2655,
