Time (min),vri_ANIMO,vri_ODE,
0,0,83.3336,
18.7345, ,83.8321,
20.4423, ,84.3262,
31.1406, ,84.8158,
34.1039, ,85.3007,
38.3733, ,85.8038,
40.4827, ,86.3013,
43.0443, ,86.7929,
48.6194, ,87.2783,
51.1308, ,87.7891,
53.6923, ,88.2922,
56.706, ,88.7874,
63.9386, ,89.2741,
64.7925, ,89.7172,
65.6463, ,90.1525,
71.6233, ,90.5798,
72.8789, ,90.9989,
75.8926, ,91.4067,
81.8696, ,91.8059,
83.52,2.8571, ,
83.979, ,92.1964,
86.0886, ,92.5779,
89.1022, ,92.905,
92.0656, ,93.225,
93.7733, ,93.5379,
95.0791, ,93.8435,
97.32,5.7143, ,
98.0425, ,94.1192,
102.3118, ,94.3886,
105.2752, ,94.6517,
107.435, ,94.9084,
109.8,8.5714, ,
115.1197, ,95.1502,
118.083, ,95.386,
120.18,11.4286, ,
124.9139, ,95.6158,
127.8773, ,95.8396,
129.5849, ,96.0547,
130.08,14.2857, ,
133.0003, ,96.264,
138.1234, ,96.4673,
138.46,17.1429, ,
140.685, ,96.6649,
146.21, ,96.8565,
146.4,20, ,
147.0638, ,97.0423,
149.2235, ,97.2222,
150.0272, ,97.3963,
153.64,22.8571, ,
157.7119, ,97.5658,
160.2735, ,97.7294,
160.42,25.7143, ,
162.835, ,97.8872,
164.1409, ,98.039,
165.8486, ,98.1868,
167.1,28.5714, ,
168.812, ,98.3285,
173,31.4286, ,
174.789, ,98.4643,
179.02,34.2857, ,
179.0583, ,98.5942,
181.1678, ,98.72,
182.0217, ,98.8398,
184.1312, ,98.9534,
184.72,37.1429, ,
187.5465, ,99.0611,
189.2543, ,99.1644,
190.52,40, ,
191.8159, ,99.2616,
194.7792, ,99.3526,
196.16,42.8571, ,
199.0987, ,99.4374,
200.3544, ,99.5176,
201.62,45.7143, ,
202.9662, ,99.5915,
206.94,48.5714, ,
208.8929, ,99.6591,
211.0025, ,99.7205,
212.6,51.4286, ,
213.1622, ,99.7767,
215.7238, ,99.8265,
217.3813, ,99.87,
217.52,54.2857, ,
223.08,57.1429, ,
227.3764, ,99.9071,
227.76,60, ,
231.4949, ,99.9386,
232.7506, ,99.9635,
233.28,62.8571, ,
233.6045, ,99.982,
234.4583, ,99.9942,
235.5131, ,100,
236.5678, ,99.9993,
238.62,65.7143, ,
239.5815, ,99.9921,
243.8507, ,99.9784,
243.88,68.5714, ,
248.98,71.4286, ,
250.6313, ,99.9579,
253.1929, ,99.9307,
254.9,74.2857, ,
256.2065, ,99.897,
257.0603, ,99.8568,
260.0237, ,99.8091,
260.66,77.1429, ,
260.8776, ,99.7547,
266.34,80, ,
269.4161, ,99.6937,
270.27, ,99.6261,
271.9777, ,99.5505,
272.42,82.8571, ,
274.8908, ,99.4681,
277.5026, ,99.379,
278.2,85.7143, ,
279.2103, ,99.2832,
279.6624, ,99.1787,
281.7719, ,99.0674,
282.6258, ,98.9494,
282.7262, ,98.8246,
284.76,88.5714, ,
285.5891, ,98.6903,
286.443, ,98.549,
290.78,91.4286, ,
293.2738, ,98.401,
294.1277, ,98.2462,
295.4336, ,98.0807,
297.1413, ,97.9083,
297.7,94.2857, ,
300.5065, ,97.729,
306.8,97.1429, ,
306.9354, ,97.5428,
307.3373, ,97.3447,
309.497, ,97.1396,
315.4741, ,96.9274,
318.8392, ,96.7082,
320.15,100, ,
324.4144, ,96.4753,
325.6701, ,96.2352,
328.6836, ,95.988,
331.2452, ,95.7336,
332.5009, ,95.463,
332.9027, ,95.1849,
340.1856, ,94.8995,
342.2951, ,94.6067,
343.149, ,94.2939,
345.3087, ,93.9734,
347.9707, ,93.6451,
349.9798, ,93.3093,
350.8337, ,92.947,
353.797, ,92.5765,
354.2491, ,92.1978,
356.5092, ,91.8112,
360.226, ,91.3856,
362.3356, ,90.951,
368.3125, ,90.5074,
376.346,97.1429, ,
376.8511, ,90.055,
382.5267, ,89.5311,
383.6317, ,88.9962,
384.4855, ,88.4506,
387.4992, ,87.8943,
390.2616, ,87.2847,
392.1702, ,86.6634,
393.878, ,86.0305,
395.1838, ,85.3865,
396.4395, ,85.3202,
399.0513, ,85.2538,
400.7088, ,85.1873,
405.168,94.2857, ,
410.5029, ,85.1206,
413.5166, ,85.0539,
414.3704, ,84.9871,
416.4297, ,84.9201,
417.3338, ,84.853,
418.1876, ,84.516,
419.8954, ,84.1762,
422.0049, ,83.8336,
427.5801, ,83.4884,
428.8357, ,83.4593,
430.5434, ,83.4303,
431.3973, ,83.4012,
432.2511, ,83.372,
433.2055, ,83.3663,
439.4838, ,83.3606,
442.4974, ,83.3549,
443.3512, ,83.3491,
444.9,91.4286, ,
446.3146, ,83.3487,
449.278, ,83.3483,
449.6798, ,83.348,
449.73, ,83.3476,
450.1319, ,83.3473,
451.8396, ,83.347,
452.6934, ,83.3467,
454.4012, ,83.3464,
459.5242, ,83.3461,
460.3781, ,83.3458,
462.5379, ,83.3455,
466.1542, ,83.3452,
471.0261, ,83.3436,
473.186, ,83.3421,
473.5877, ,83.3406,
478.7108, ,83.3391,
485.76,88.5714, ,
485.9435, ,83.3315,
490.2128, ,83.324,
492.473, ,83.3164,
494.9341, ,83.3088,
500.459, ,83.271,
502.1668, ,83.2331,
503.2215, ,83.1952,
503.8744, ,83.1572,
506.436, ,82.967,
511.1071, ,82.776,
512.6139, ,82.5842,
514.1207, ,82.3917,
515.3764, ,82.0397,
516.632, ,81.6853,
519.6457, ,81.3285,
520.0474, ,80.9693,
522.609, ,80.5958,
524.976,85.7143, ,
525.1705, ,80.2199,
528.1842, ,79.8416,
529.4398, ,79.4608,
532.2023, ,79.0456,
535.8186, ,78.6276,
536.6725, ,78.2069,
537.1245, ,77.7836,
538.8322, ,77.3173,
546.0649, ,76.848,
546.9187, ,76.3758,
552.4437, ,75.9006,
555.0053, ,75.3657,
556.3112, ,74.8272,
557.8,82.8571, ,
558.0188, ,74.2854,
558.4207, ,73.7403,
565.6533, ,73.1016,
566.9592, ,72.4587,
575.4977, ,71.8118,
575.8996, ,71.161,
577.6073, ,70.3249,
578.21, ,69.483,
578.9132, ,68.6357,
579.767, ,67.7831,
581.8765, ,66.9282,
583.2,80, ,
583.9861, ,66.0687,
585.292, ,65.205,
588.7074, ,64.3373,
590.8169, ,63.4669,
591.4699, ,62.5932,
593.8305, ,61.7164,
596.3921, ,60.8367,
598.5016, ,60.1251,
601.0631, ,59.4119,
602.7709, ,58.6974,
603.8,77.1429, ,
604.4785, ,57.9817,
604.4785, ,57.3528,
605.7342, ,56.7232,
608.7478, ,56.093,
610.8573, ,55.4623,
612.5651, ,54.8734,
612.5651, ,54.2842,
613.871, ,53.6948,
615.5285, ,53.1053,
621.9574, ,52.5425,
622.8113, ,51.9798,
624.519, ,51.4172,
625.8,74.2857, ,
626.2267, ,50.8547,
628.7883, ,50.3118,
629.592, ,49.7692,
631.2996, ,49.2268,
635.5689, ,48.6848,
640.893, ,48.158,
642.3997, ,47.6317,
643.7056, ,47.1058,
644.12,71.4286, ,
645.4134, ,46.5805,
646.2672, ,46.0675,
647.5228, ,45.555,
647.9247, ,45.0432,
653.9016, ,44.532,
656.9153, ,44.031,
662.4402, ,43.5307,
663.54,68.5714, ,
663.7461, ,43.0312,
664.5497, ,42.5326,
665.4036, ,42.0424,
667.5633, ,41.5532,
673.9421, ,41.0648,
675.248, ,40.5775,
680.356,65.7143, ,
682.0789, ,40.0973,
683.3345, ,39.6182,
684.5902, ,39.1401,
686.2979, ,38.6631,
691.0192, ,38.1923,
693.9825, ,37.7227,
694.8365, ,37.2542,
696.5441, ,36.7869,
697.4,62.8571, ,
699.5075, ,36.3251,
702.5212, ,35.8645,
706.3384, ,35.4051,
708.046, ,34.9471,
711.0597, ,34.4938,
712.716,60, ,
713.6212, ,34.0419,
714.8769, ,33.5914,
716.9864, ,33.1422,
718.6941, ,32.6974,
719.548, ,32.2539,
722.5616, ,31.8119,
723.2648, ,31.3714,
728.1,57.1429, ,
728.9404, ,30.9348,
731.502, ,30.4998,
733.511, ,30.0662,
734.0635, ,29.6342,
734.9174, ,29.2059,
736.173, ,28.7792,
736.625, ,28.354,
737.4789, ,27.9305,
739.1866, ,27.5105,
742.15, ,27.0921,
744.1591, ,26.6755,
745.64,54.2857, ,
746.0175, ,26.2605,
747.2731, ,25.8489,
750.2365, ,25.4391,
753.2501, ,25.0311,
754.8071, ,24.6249,
756.2135, ,24.6009,
758.775, ,24.5769,
761.7886, ,24.5529,
762.1904, ,24.5289,
763.0443, ,24.525,
763.42,51.4286, ,
764.752, ,24.5211,
765.4552, ,24.5172,
767.3136, ,24.5132,
769.8751, ,24.5106,
771.5829, ,24.508,
773.6924, ,24.5054,
778.8155, ,24.5028,
781.3771, ,24.5002,
781.7789, ,24.4976,
782.6327, ,24.495,
783.396,48.5714, ,
784.3405, ,24.4924,
790.3174, ,24.4897,
793.331, ,24.4871,
797.1483, ,24.4844,
798.856, ,24.4818,
799.978,45.7143, ,
802.6732, ,24.4685,
805.6868, ,24.4552,
807.3945, ,24.4419,
808.6501, ,24.4286,
809.956, ,24.3623,
811.6638, ,24.296,
812.0656, ,24.2297,
813.6226, ,24.1635,
814.6272, ,24.1006,
815.0289, ,24.0378,
815.8828, ,23.975,
816.7367, ,23.9122,
817.596,42.8571, ,
818.4444, ,23.5992,
825.2752, ,23.2874,
826.9829, ,22.9767,
831.2522, ,22.6672,
832.732,40, ,
833.3617, ,22.2031,
835.5215, ,21.7418,
840.1925, ,21.2833,
841.4984, ,20.8277,
844.06, ,20.4027,
846.6216, ,19.9802,
848.188,37.1429, ,
848.2791, ,19.5605,
849.585, ,19.1436,
850.4388, ,18.7524,
852.5484, ,18.3638,
856.4157, ,17.9777,
859.3791, ,17.5944,
859.8312, ,17.2368,
861.5389, ,16.8816,
864.22,34.2857, ,
864.5023, ,16.529,
865.3561, ,16.1789,
867.0638, ,15.8513,
868.3195, ,15.5261,
869.6254, ,15.2033,
872.5888, ,14.883,
873.8947, ,14.5772,
874.7485, ,14.2738,
877.3101, ,13.973,
879.4196, ,13.6746,
879.46,31.4286, ,
882.383, ,13.3774,
884.0907, ,13.0828,
886.6523, ,12.791,
888.812, ,12.502,
892.6293, ,12.1932,
895.1908, ,11.8879,
895.512,28.5714, ,
896.8985, ,11.586,
897.7524, ,11.2876,
899.4601, ,10.9914,
900.314, ,10.6988,
901.1678, ,10.41,
907.9986, ,10.125,
912.2679, ,9.8381,
912.672,25.7143, ,
914.3774, ,9.5552,
916.4869, ,9.2764,
919.5005, ,9.0018,
921.6101, ,8.7213,
922.0621, ,8.4453,
925.0255, ,8.1739,
927.587, ,7.9071,
929.2948, ,7.6307,
931.0024, ,7.3595,
932.692,22.8571, ,
933.564, ,7.0935,
937.8333, ,6.8326,
938.2351, ,6.5595,
940.7967, ,6.2924,
944.2121, ,6.0312,
945.518, ,5.7759,
947.1755, ,5.5075,
948.0293, ,5.246,
948.8832, ,4.9912,
949.7371, ,4.7433,
950.5909, ,4.4842,
952.712,20, ,
952.7506, ,4.2328,
954.8601, ,3.9893,
955.3122, ,3.7534,
957.8738, ,3.5113,
959.1294, ,3.2778,
959.8326, ,3.0529,
960.4353, ,2.8364,
962.143, ,2.62,
964.6544, ,2.4126,
966.8141, ,2.2142,
968.5219, ,2.0247,
969.7775, ,1.9466,
972.3391, ,1.87,
973.1929, ,1.795,
975.98,17.1429, ,
976.2065, ,1.7217,
977.9142, ,1.6499,
980.8776, ,1.5797,
982.9871, ,1.5111,
986.0007, ,1.4441,
989.818, ,1.3241,
989.818, ,1.2095,
992.8315, ,1.1003,
994.0872, ,0.9963,
997.0506, ,0.8943,
1001.7719, ,0.7979,
1002.6257, ,0.7071,
1003.36,14.2857, ,
1003.4796, ,0.6219,
1005.1873, ,0.5368,
1006.0412, ,0.458,
1009.0045, ,0.3855,
1012.0182, ,0.3194,
1012.8218, ,0.2555,
1014.5295, ,0.1988,
1017.5431, ,0.1492,
1018.397, ,0.1068,
1018.7988, ,0.0694,
1020.5064, ,0.04,
1022.2142, ,0.0186,
1023.068, ,0.0053,
1025.08,11.4286, ,
1025.2277, ,0,
1027.5885, ,0.0036,
1029.4468, ,0.0162,
1033.3143, ,0.0377,
1036.2777, ,0.0695,
1038.4374, ,0.1109,
1040.999, ,0.1619,
1041.8528, ,0.2225,
1043.5605, ,0.2941,
1047.3778, ,0.3755,
1050.3412, ,0.4667,
1051.6471, ,0.5678,
1053.2041, ,0.6786,
1057.5235, ,0.7991,
1058.8797, ,0.9294,
1059.7335, ,1.0695,
1061.4413, ,1.2172,
1062.68,8.5714, ,
1063.5508, ,1.3745,
1065.7105, ,1.5413,
1066.9662, ,1.7175,
1069.9798, ,1.9,
1071.6875, ,2.0917,
1072.5414, ,2.2925,
1074.6508, ,2.5024,
1077.2124, ,2.7179,
1078.5183, ,2.9422,
1079.774, ,3.1755,
1081.8835, ,3.4175,
1082.7374, ,3.6649,
1083.1895, ,3.9209,
1084.4451, ,4.1856,
1087.8605, ,4.4588,
1090.0202, ,4.7375,
1090.8741, ,5.0247,
1092.1297, ,5.3203,
1092.5818, ,5.6243,
1094.6913, ,5.9341,
1100.2163, ,6.2523,
1101.0701, ,6.5787,
1103.2299, ,6.9134,
1104.0837, ,7.2547,
1104.9376, ,7.6041,
1107.4991, ,7.9617,
1110.0607, ,8.3275,
1113.0241, ,8.7008,
1113.14,5.7143, ,
1115.9875, ,9.0822,
1116.8413, ,9.4717,
1117.6952, ,9.8693,
1119.0011, ,10.2758,
1121.5626, ,10.6903,
1124.1242, ,11.1129,
1126.2337, ,11.5436,
1127.9414, ,11.985,
1129.6492, ,12.4345,
1136.8818, ,12.791,
1138.1877, ,13.0828,
1141.1511, ,13.3774,
1144.1646, ,13.6746,
1150.0914, ,13.973,
1152.653, ,14.2738,
1159.4838, ,14.5772,
1164.1549, ,14.883,
1165.8626, ,15.0256,
1168.8762, ,15.5361,
1170.5839, ,16.0546,
1172.6935, ,16.5813,
1175.255, ,16.7019,
1176.5609, ,16.8229,
1177.4148, ,16.9443,
1183.3415, ,17.0661,
1184.6474, ,17.1884,
1187.209, ,17.311,
1188.08,2.8571, ,
1192.1312, ,17.4341,
1193.5877, ,17.5575,
1199.9665, ,17.7041,
1201.6743, ,17.8512,
1202.1263, ,17.9989,
1203.3819, ,18.1472,
1206.3956, ,18.6962,
1209.3589, ,19.2528,
1212.3223, ,19.8168,
1217.0436, ,20.3883,
1217.4454, ,20.9579,
1218.7513, ,21.5346,
1220.007, ,22.1182,
1222.5686, ,22.7088,
1226.8379, ,23.3096,
1228.5455, ,23.9172,
1229.8012, ,24.5316,
1232.3628, ,25.1525,
1236.6321, ,25.7878,
1237.285, ,26.4296,
1238.3398, ,27.078,
1240.4995, ,27.7327,
1243.0611, ,28.4066,
1248.9878, ,29.087,
1250.2937, ,29.7736,
1250.6955, ,30.4663,
1256.6725, ,31.1844,
1258.3802, ,31.9087,
1262.1975, ,32.639,
1262.6495, ,33.3752,
1265.6129, ,34.1095,
1267.7726, ,34.8492,
1269.0283, ,35.5943,
1270.3342, ,36.3445,
1271.188, ,37.044,
1274.1514, ,37.7476,
1275.4573, ,38.4552,
1278.4207, ,39.1666,
1281.384, ,39.8436,
1283.5438, ,40.5238,
1286.4067, ,41.2071,
1289.0687, ,41.8934,
1292.0824, ,42.5548,
1295.0457, ,43.2186,
1295.8996, ,43.8849,
1298.0091, ,44.5534,
1300.5706, ,45.2024,
1301.8766, ,45.8533,
1303.228,5.7143, ,
1303.5843, ,46.506,
1304.4381, ,47.1605,
1306.5476, ,47.7989,
1306.9997, ,48.4387,
1309.5613, ,49.0798,
1310.4151, ,49.7221,
1312.0726, ,50.3508,
1312.9264, ,50.9805,
1314.6341, ,51.611,
1317.1957, ,52.2423,
1318.0495, ,52.8617,
1323.1727, ,53.4816,
1325.3324, ,54.102,
1327.894, ,54.7228,
1331.7112, ,55.333,
1332.18,8.5714, ,
1333.8208, ,55.9435,
1334.2728, ,56.554,
1334.6746, ,57.1645,
1335.5284, ,57.7655,
1337.2362, ,58.3664,
1337.6882, ,58.967,
1341.1036, ,59.5674,
1342.8113, ,60.159,
1349.64,11.4286, ,
1351.7517, ,60.7501,
1354.715, ,61.3408,
1356.4228, ,61.9308,
1358.1304, ,62.5128,
1359.4364, ,63.0941,
1360.692, ,63.6745,
1361.9477, ,64.2541,
1364.1075, ,64.8263,
1367.48,14.2857, ,
1368.3767, ,65.3975,
1370.0844, ,65.9676,
1372.646, ,66.5365,
1373.0478, ,67.0986,
1376.0614, ,67.6595,
1378.5727, ,68.219,
1379.3261, ,68.7772,
1380.448,17.1429, ,
1381.5864, ,69.3291,
1384.5498, ,69.8796,
1387.5633, ,70.4284,
1389.6728, ,70.9757,
1390.5267, ,71.5174,
1392.2344, ,72.0573,
1392.8,20, ,
1393.2892, ,72.5955,
1396.0516, ,73.1317,
1397.3575, ,73.6633,
1399.9191, ,74.1929,
1402.0287, ,74.7204,
1404,22.8571, ,
1405.8961, ,75.2458,
1406.75, ,75.7676,
1407.1518, ,76.2871,
1409.3115, ,76.8043,
1411.0192, ,77.3191,
1413.84,25.7143, ,
1413.9826, ,77.8319,
1421.6673, ,78.342,
1422.72,28.5714, ,
1423.7768, ,78.8495,
1426.3383, ,79.3543,
1427.6442, ,79.8594,
1428.0461, ,80.3615,
1429.7538, ,80.8605,
1431.028,31.4286, ,
1432.3154, ,81.3562,
1434.8769, ,81.856,
1437.4384, ,82.3523,
1439.5,34.2857, ,
1440,34.2857,82.8448,
